name	* info	* tier	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicLvl	ElzixMagicMin	ElzixMagicMax	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
crn 	Crown						12	22			55			50		29		8345	77501	crn 	crn			crn 	hlm	crn 	xrn 	urn 			2	2	1	3	1	flpcrn	invcrn														helm		so223	12	so223			5						3							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			2	8		xxx 	xxx 			1
fld 	Field Plate						50	52	2	5	55			48		28		23841	183387	fld 	fld			fld 	fld	fld 	xld 	uld 		1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2						tors		so236	12	so236			5						2							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	8		xxx 	xxx 			1
hbt 	Greaves						6	8			70			24		27		2954	35939	hbt 	hbt			hbt 	hbt	hbt 	xhb 	uhb 		16	2	2				flphbt	invhbt														boot		so210	12	so210			5						6				120			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255				8		xxx 	xxx 			1
hgl 	Gauntlets						6	8			60			24		27		2964	36007	hgl 	hgl			hgl 	hgl	hgl 	xhg 	uhg 		16	2	2				flphgl	invhgl														glov		so220	12	so220			5						5							3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255				8		xxx 	xxx 			1
tow 	Tower Shield						11	12	1	10	75		1	60		22		4249	36869	tow 	tow			tow 	buc	tow 	xow 	uow 		7	2	3	1	3	2	flptow	invtow														shie		so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255			8	2		xxx 	xxx 			1
w23 	Aerin Shield (1)	1	100		4	1	84	164			36		1	68		12	3	565		w23 	w23		402	pa3 	spk	w23 	w23 	w23 		7	2	4	1	2	2	flppa3	invpa4														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
w83 	Aerin Shield (4)	4	100		4	1	310	552			110		1	68		56	17	24000		w83 	w83		403	pa3 	spk	w83 	w83 	w83 		7	2	4	1	3	2	flppa3	invpa4														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
e33 	Aerin Shield (6)	6	100		4	1	591	1038			232		1	68		85	25	96861		e33 	e33		404	pa3 	spk	e33 	e33 	e33 		7	2	4	1	4	2	flppa3	invpa4														ashd	tier	so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
@60 	Aerin Shield (Sacred)	Sacred	100		1	1	1295	1519			445		1	68		85	30	96861		@60 	@60		404	pa3 	spk	@60 	@60 	@60 		7	2	4	1	4	2	flppa3	invpa4														qaur		so231	12	so231			5						1				100			3					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255					255					255						xxx 	xxx 			1
614 	Ancient Armor (1)	1			20	1	174	348		15	97			111		19	5	1841		614 	614		401	aar 	aar	614 	614 	614 		1	2	3	1	2	1	flpaar	invaar			2	2		2	2	2						tors	tier	so236	12	so236			5						2							1					255					255					255					255					255					255					255					255					255			255							255					255					255					255					255		1		1	1					255			2	8		xxx 	xxx 			1
