Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
unSocketable	100	1	1	1					10	400													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					10	401	pr133		1	1									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					9	402	pr133		1	2									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					8	403	pr133		1	3									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					7	404	pr133		1	4									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					6	405	pr133		1	5									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					5	406	pr133		1	6									1		armo	misl	ring	amul									
sockNormal	100	1	1	1					10	401													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					11	402													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					12	403													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					13	404													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					14	405													1		armo	misl	ring	amul									
sockNormal	100	1	1	1					15	406													1		armo	misl	ring	amul									
sockJavelin	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		jave							ajav					
sockJavelin	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		jave							ajav					
sockJavelin	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		jave							ajav					
sockJavelin	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		jave							ajav					
sockJavelin	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		jave							ajav					
sockJavelin	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		jave							ajav					
sockJavelin	100	1	1	1					10	401	pr388	51	51	51									1		jave							ajav					
sockJavelin	100	1	1	1					11	402	pr388	51	51	51									1		jave							ajav					
sockJavelin	100	1	1	1					12	403	pr388	51	51	51									1		jave							ajav					
sockJavelin	100	1	1	1					13	404	pr388	51	51	51									1		jave							ajav					
sockJavelin	100	1	1	1					14	405	pr388	51	51	51									1		jave							ajav					
sockJavelin	100	1	1	1					15	406	pr388	51	51	51									1		jave							ajav					
sockTaxe	100	1	1	1					10	401	pr387	51	51	51	pr133		1	1					1		taxe												
sockTaxe	100	1	1	1					9	402	pr387	51	51	51	pr133		1	2					1		taxe												
sockTaxe	100	1	1	1					8	403	pr387	51	51	51	pr133		1	3					1		taxe												
sockTaxe	100	1	1	1					7	404	pr387	51	51	51	pr133		1	4					1		taxe												
sockTaxe	100	1	1	1					6	405	pr387	51	51	51	pr133		1	5					1		taxe												
sockTaxe	100	1	1	1					5	406	pr387	51	51	51	pr133		1	6					1		taxe												
sockTaxe	100	1	1	1					10	401	pr387	51	51	51									1		taxe												
sockTaxe	100	1	1	1					11	402	pr387	51	51	51									1		taxe												
sockTaxe	100	1	1	1					12	403	pr387	51	51	51									1		taxe												
sockTaxe	100	1	1	1					13	404	pr387	51	51	51									1		taxe												
sockTaxe	100	1	1	1					14	405	pr387	51	51	51									1		taxe												
sockTaxe	100	1	1	1					15	406	pr387	51	51	51									1		taxe												
sockTknife	100	1	1	1					10	401	pr388	51	51	51	pr133		1	1					1		tkni												
sockTknife	100	1	1	1					9	402	pr388	51	51	51	pr133		1	2					1		tkni												
sockTknife	100	1	1	1					8	403	pr388	51	51	51	pr133		1	3					1		tkni												
sockTknife	100	1	1	1					7	404	pr388	51	51	51	pr133		1	4					1		tkni												
sockTknife	100	1	1	1					6	405	pr388	51	51	51	pr133		1	5					1		tkni												
sockTknife	100	1	1	1					5	406	pr388	51	51	51	pr133		1	6					1		tkni												
sockTknife	100	1	1	1					10	401	pr388	51	51	51									1		tkni												
sockTknife	100	1	1	1					11	402	pr388	51	51	51									1		tkni												
sockTknife	100	1	1	1					12	403	pr388	51	51	51									1		tkni												
sockTknife	100	1	1	1					13	404	pr388	51	51	51									1		tkni												
sockTknife	100	1	1	1					14	405	pr388	51	51	51									1		tkni												
sockTknife	100	1	1	1					15	406	pr388	51	51	51									1		tkni												
sockPal1H	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		pclb	pmac											
sockPal1H	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		pclb	pmac											
sockPal1H	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		pclb	pmac											
sockPal1H	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		pclb	pmac											
sockPal1H	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		pclb	pmac											
sockPal1H	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		pclb	pmac											
sockPal1H	100	1	1	1					10	401	pr387	76	76	76									1		pclb	pmac											
sockPal1H	100	1	1	1					11	402	pr387	76	76	76									1		pclb	pmac											
sockPal1H	100	1	1	1					12	403	pr387	76	76	76									1		pclb	pmac											
sockPal1H	100	1	1	1					13	404	pr387	76	76	76									1		pclb	pmac											
sockPal1H	100	1	1	1					14	405	pr387	76	76	76									1		pclb	pmac											
sockPal1H	100	1	1	1					15	406	pr387	76	76	76									1		pclb	pmac											
sockAxe	100	1	1	1					10	401	pr387	51	51	51	pr133		1	1					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					9	402	pr387	51	51	51	pr133		1	2					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					8	403	pr387	51	51	51	pr133		1	3					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					7	404	pr387	51	51	51	pr133		1	4					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					6	405	pr387	51	51	51	pr133		1	5					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					5	406	pr387	51	51	51	pr133		1	6					1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					10	401	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					11	402	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					12	403	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					13	404	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					14	405	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					15	406	pr387	51	51	51									1		axe							baxe	taxe	2hax			
sockAxe	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		2hax							baxe	taxe				
sockAxe	100	1	1	1					10	401	pr387	76	76	76									1		2hax							baxe	taxe				
sockAxe	100	1	1	1					11	402	pr387	76	76	76									1		2hax							baxe	taxe				
sockAxe	100	1	1	1					12	403	pr387	76	76	76									1		2hax							baxe	taxe				
sockAxe	100	1	1	1					13	404	pr387	76	76	76									1		2hax							baxe	taxe				
sockAxe	100	1	1	1					14	405	pr387	76	76	76									1		2hax							baxe	taxe				
sockAxe	100	1	1	1					15	406	pr387	76	76	76									1		2hax							baxe	taxe				
sockBarSW	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		bswd												
sockBarSW	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		bswd												
sockBarSW	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		bswd												
sockBarSW	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		bswd												
sockBarSW	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		bswd												
sockBarSW	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		bswd												
sockBarSW	100	1	1	1					10	401	pr387	76	76	76									1		bswd												
sockBarSW	100	1	1	1					11	402	pr387	76	76	76									1		bswd												
sockBarSW	100	1	1	1					12	403	pr387	76	76	76									1		bswd												
sockBarSW	100	1	1	1					13	404	pr387	76	76	76									1		bswd												
sockBarSW	100	1	1	1					14	405	pr387	76	76	76									1		bswd												
sockBarSW	100	1	1	1					15	406	pr387	76	76	76									1		bswd												
sockPole	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		pole							scyh	nagi				
sockPole	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		pole							scyh	nagi				
sockPole	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		pole							scyh	nagi				
sockPole	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		pole							scyh	nagi				
sockPole	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		pole							scyh	nagi				
sockPole	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		pole							scyh	nagi				
sockPole	100	1	1	1					10	401	pr387	76	76	76									1		pole							scyh	nagi				
sockPole	100	1	1	1					11	402	pr387	76	76	76									1		pole							scyh	nagi				
sockPole	100	1	1	1					12	403	pr387	76	76	76									1		pole							scyh	nagi				
sockPole	100	1	1	1					13	404	pr387	76	76	76									1		pole							scyh	nagi				
sockPole	100	1	1	1					14	405	pr387	76	76	76									1		pole							scyh	nagi				
sockPole	100	1	1	1					15	406	pr387	76	76	76									1		pole							scyh	nagi				
sockSW	100	1	1	1					10	401	pr387	51	51	51	pr133		1	1					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					9	402	pr387	51	51	51	pr133		1	2					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					8	403	pr387	51	51	51	pr133		1	3					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					7	404	pr387	51	51	51	pr133		1	4					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					6	405	pr387	51	51	51	pr133		1	5					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					5	406	pr387	51	51	51	pr133		1	6					1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					10	401	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					11	402	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					12	403	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					13	404	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					14	405	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					15	406	pr387	51	51	51									1		swor							bswd	crsd	2hsd			
sockSW	100	1	1	1					10	401	pr387	76	76	76	pr133		1	1					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					9	402	pr387	76	76	76	pr133		1	2					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					8	403	pr387	76	76	76	pr133		1	3					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					7	404	pr387	76	76	76	pr133		1	4					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					6	405	pr387	76	76	76	pr133		1	5					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					5	406	pr387	76	76	76	pr133		1	6					1		2hsd							bswd	crsd				
sockSW	100	1	1	1					10	401	pr387	76	76	76									1		2hsd							bswd	crsd				
sockSW	100	1	1	1					11	402	pr387	76	76	76									1		2hsd							bswd	crsd				
sockSW	100	1	1	1					12	403	pr387	76	76	76									1		2hsd							bswd	crsd				
sockSW	100	1	1	1					13	404	pr387	76	76	76									1		2hsd							bswd	crsd				
sockSW	100	1	1	1					14	405	pr387	76	76	76									1		2hsd							bswd	crsd				
sockSW	100	1	1	1					15	406	pr387	76	76	76									1		2hsd							bswd	crsd				
sockStaf	100	1	1	1					10	401	pr388	25	25	25	pr133		1	1					1		staf							dstf	nstf				
sockStaf	100	1	1	1					9	402	pr388	25	25	25	pr133		1	2					1		staf							dstf	nstf				
sockStaf	100	1	1	1					8	403	pr388	25	25	25	pr133		1	3					1		staf							dstf	nstf				
sockStaf	100	1	1	1					7	404	pr388	25	25	25	pr133		1	4					1		staf							dstf	nstf				
sockStaf	100	1	1	1					6	405	pr388	25	25	25	pr133		1	5					1		staf							dstf	nstf				
sockStaf	100	1	1	1					5	406	pr388	25	25	25	pr133		1	6					1		staf							dstf	nstf				
sockStaf	100	1	1	1					10	401	pr388	25	25	25									1		staf							dstf	nstf				
