LevelName	TileName	Style	StartSequence	EndSequence	Cel1	Cel2	Cel3	Cel4
1 Town	fl		1	46		1	2	3
1 Town	fl	2		3		1	2	3
1 Town	fl	2	4	7	4	-1	-1	-1
1 Town	fl	2	8	11	6	7	8	-1
1 Town	fl	2	12	15		1	2	3
1 Town	fl	2	16	19	4	-1	-1	-1
1 Town	fl	2	20	24	6	7	8	-1
1 Town	fl	3		3		1	2	3
1 Town	fl	3	4	7	5	-1	-1	-1
1 Town	fl	3	8	11		1	2	3
1 Town	fl	3	12	15	5	-1	-1	-1
1 Town	wr			18	60	70	-1	-1
1 Town	wl			18	61	71	-1	-1
1 Town	wtlr		15	15	64	-1	-1	-1
1 Town	wtlr			1	64	-1	-1	-1
1 Town	wtll		15	15	60	-1	-1	-1
1 Town	wtll			1	64	-1	-1	-1
1 Town	wbr			2	65	-1	-1	-1
1 Town	wbr		5	-1	65	-1	-1	-1
1 Town	wtr		-1	-1	62	-1	-1	-1
1 Town	wbl		-1	-1	63	-1	-1	-1
1 Town	wr	2		3	11	12	-1	-1
1 Town	wr	2	4	4	18	-1	-1	-1
1 Town	wl	2		3	13	14	-1	-1
1 Town	wl	2	4	4	17	-1	-1	-1
1 Town	wtr	2		4	13	14	-1	-1
1 Town	wtlr	2		4	16	-1	-1	-1
1 Town	wtll	2		4	16	-1	-1	-1
1 Town	wbl	2		4	11	12	-1	-1
1 Town	fl	4		3	79	-1	-1	-1
1 Town	fl	4	4	4	76	-1	-1	-1
1 Town	fl	4	5	6	79	-1	-1	-1
1 Town	fl	4	7	7	73	-1	-1	-1
1 Town	fl	4	8	8	77	-1	-1	-1
1 Town	fl	4	9	10	79	-1	-1	-1
1 Town	fl	4	11	11	74	-1	-1	-1
1 Town	fl	4	12	12	77	-1	-1	-1
1 Town	fl	4	13	14	79	-1	-1	-1
1 Town	fl	4	15	15	74	-1	-1	-1
1 Town	fl	4	16	16	77	-1	-1	-1
1 Town	fl	4	17	18	79	-1	-1	-1
1 Town	fl	4	19	19	74	-1	-1	-1
1 Town	fl	4	20	21	79	-1	-1	-1
1 Town	fl	4	22	22	74	-1	-1	-1
1 Town	fl	4	23	26	79	-1	-1	-1
1 Town	fl	4	27	27	78	-1	-1	-1
1 Town	fl	4	28	29	79	-1	-1	-1
1 Town	fl	4	30	30	75	-1	-1	-1
1 Town	fl	4	31	31	77	-1	-1	-1
1 Town	fl	4	32	33	79	-1	-1	-1
1 Town	fl	4	34	34	74	-1	-1	-1
1 Town	fl	4	35	35	77	-1	-1	-1
1 Town	fl	4	36	37	79	-1	-1	-1
1 Town	fl	4	38	38	74	-1	-1	-1
1 Town	fl	4	39	39	77	-1	-1	-1
1 Town	co	7	10	10	400	-1	-1	-1
1 Town	co	7	11	11	401	-1	-1	-1
1 Town	co	7	12	12	402	-1	-1	-1
1 Town	co	7	13	13	403	-1	-1	-1
1 Town	co	7	14	14	404	-1	-1	-1
1 Town	fl	8	8	8	405	-1	-1	-1
1 Town	co	6	5	5	406	-1	-1	-1
1 Town	wtll		3	3	407	-1	-1	-1
1 Town	wl		38	38	408	-1	-1	-1
1 Town	wr		42	42	409	-1	-1	-1
1 Town	wl		30	30	410	-1	-1	-1
1 Town	wl		28	28	411	-1	-1	-1
1 Town	wl		26	26	412	-1	-1	-1
1 Town	wr		27	27	415	-1	-1	-1
1 Town	wr		29	29	416	-1	-1	-1
1 Town	wr		40	40	413	-1	-1	-1
1 Town	wl		43	43	414	-1	-1	-1
1 Town	wr		33	33	417	-1	-1	-1
1 Town	wl		36	36	418	-1	-1	-1
1 Town	wl		34	34	419	-1	-1	-1
1 Town	wr		36	36	420	-1	-1	-1
1 Town	wr		38	38	421	-1	-1	-1
1 Town	fl	1	61	61	422	-1	-1	-1
1 Town	fl		54	54	307	-1	-1	-1
1 Town	wr		19	19	423	-1	-1	-1
1 Town	wr		21	21	424	-1	-1	-1
1 Town	co	6	7	7	319	-1	-1	-1
1 Town	wr		24	24	425	-1	-1	-1
1 Wilderness	wr		4	4	11	-1	-1	-1
1 Wilderness	wr		5	5	18	-1	-1	-1
1 Wilderness	wr		6	6	10	-1	-1	-1
1 Wilderness	wr			3	20	-1	-1	-1
1 Wilderness	wl				21	-1	-1	-1
1 Wilderness	wl		1	1	35	-1	-1	-1
1 Wilderness	wl		2	-1	21	-1	-1	-1
1 Wilderness	wtll		-1	-1	24	-1	-1	-1
1 Wilderness	fl		1	47		1	2	3
1 Wilderness	fl		54	54	307	-1	-1	-1
1 Wilderness	fl		49	49		1	2	3
1 Wilderness	fl	2		3		1	2	3
1 Wilderness	fl	2	4	7	4	-1	-1	-1
1 Wilderness	fl	2	8	11	6	7	8	-1
1 Wilderness	fl	2	12	15		1	2	3
1 Wilderness	fl	2	16	19	4	-1	-1	-1
1 Wilderness	fl	2	20	24	6	7	8	-1
1 Wilderness	fl	3		3		1	2	3
1 Wilderness	fl	3	4	7	5	-1	-1	-1
1 Wilderness	fl	3	8	11		1	2	3
1 Wilderness	fl	3	12	15	5	-1	-1	-1
1 Wilderness	wr	10	2	2	22	-1	-1	-1
1 Wilderness	wr	10		1	20	-1	-1	-1
1 Wilderness	wr	10	3	6	20	-1	-1	-1
1 Wilderness	wr	10	13	-1	20	-1	-1	-1
1 Wilderness	wl	10	2	2	23	-1	-1	-1
1 Wilderness	wl	10		1	21	-1	-1	-1
1 Wilderness	wl	10	3	12	21	-1	-1	-1
1 Wilderness	wl	10	14	-1	21	-1	-1	-1
1 Wilderness	wtlr	10	-1	-1	24	-1	-1	-1
1 Wilderness	wtll	10	-1	-1	24	-1	-1	-1
1 Wilderness	wbr	10	-1	-1	25	-1	-1	-1
