name	code	* info
amu 	amu 	
rin 	rin 	
w23 	w23 	1
w83 	w83 	4
e33 	e33 	6
614 	614 	1
752 	752 	4
844 	844 	6
w12 	w12 	1
w72 	w72 	4
e22 	e22 	6
8@N 	8@N 	1
2@O 	2@O 	4
4@O 	4@O 	6
w18 	w18 	1
w78 	w78 	4
e28 	e28 	6
01! 	01! 	1
04! 	04! 	4
06! 	06! 	6
w19 	w19 	1
w79 	w79 	4
e29 	e29 	6
4@I 	4@I 	1
7@I 	7@I 	4
9@I 	9@I 	6
629 	629 	1
767 	767 	4
859 	859 	6
50! 	50! 	1
53! 	53! 	4
55! 	55! 	6
4@P 	4@P 	1
7@P 	7@P 	4
9@P 	9@P 	6
645 	645 	1
783 	783 	4
875 	875 	6
642 	642 	1
780 	780 	4
872 	872 	6
637 	637 	1
775 	775 	4
867 	867 	6
607 	607 	1
745 	745 	4
837 	837 	6
29! 	29! 	1
32! 	32! 	4
34! 	34! 	6
621 	621 	1
759 	759 	4
851 	851 	6
22! 	22! 	1
25! 	25! 	4
27! 	27! 	6
615 	615 	1
753 	753 	4
845 	845 	6
2@J 	2@J 	1
5@J 	5@J 	4
7@J 	7@J 	6
7@K 	7@K 	1
1@L 	1@L 	4
3@L 	3@L 	6
639 	639 	1
777 	777 	4
869 	869 	6
634 	634 	1
772 	772 	4
864 	864 	6
606 	606 	1
744 	744 	4
836 	836 	6
k01 	k01 	1
k13 	k13 	4
k21 	k21 	6
k02 	k02 	1
k14 	k14 	4
k22 	k22 	6
620 	620 	1
758 	758 	4
850 	850 	6
w24 	w24 	1
w84 	w84 	4
e34 	e34 	6
w29 	w29 	1
w89 	w89 	4
e39 	e39 	6
k04 	k04 	1
k16 	k16 	4
k24 	k24 	6
5@L 	5@L 	1
8@L 	8@L 	4
1@M 	1@M 	6
w13 	w13 	1
w73 	w73 	4
e23 	e23 	6
w16 	w16 	1
w76 	w76 	4
e26 	e26 	6
610 	610 	1
748 	748 	4
840 	840 	6
618 	618 	1
756 	756 	4
848 	848 	6
613 	613 	1
751 	751 	4
843 	843 	6
1@G 	1@G 	1
4@G 	4@G 	4
6@G 	6@G 	6
w28 	w28 	1
w88 	w88 	4
e38 	e38 	6
636 	636 	1
774 	774 	4
866 	866 	6
36! 	36! 	1
39! 	39! 	4
41! 	41! 	6
612 	612 	1
750 	750 	4
842 	842 	6
626 	626 	1
764 	764 	4
856 	856 	6
619 	619 	1
757 	757 	4
849 	849 	6
641 	641 	1
779 	779 	4
871 	871 	6
602 	602 	1
740 	740 	4
832 	832 	6
w11 	w11 	1
w71 	w71 	4
e21 	e21 	6
630 	630 	1
768 	768 	4
860 	860 	6
638 	638 	1
776 	776 	4
868 	868 	6
633 	633 	1
771 	771 	4
863 	863 	6
617 	617 	1
755 	755 	4
847 	847 	6
w22 	w22 	1
w82 	w82 	4
e32 	e32 	6
w17 	w17 	1
w77 	w77 	4
e27 	e27 	6
43! 	43! 	1
46! 	46! 	4
48! 	48! 	6
w15 	w15 	1
w75 	w75 	4
e25 	e25 	6
6@H 	6@H 	1
9@H 	9@H 	4
2@I 	2@I 	6
624 	624 	1
762 	762 	4
854 	854 	6
8@G 	8@G 	1
2@H 	2@H 	4
4@H 	4@H 	6
623 	623 	1
761 	761 	4
853 	853 	6
601 	601 	1
739 	739 	4
831 	831 	6
632 	632 	1
770 	770 	4
862 	862 	6
628 	628 	1
766 	766 	4
