name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	3	pr96		10	10	pr283	32	32	32					pr216		1	1	pr283	32	32	32					pr328		2	2	pr283	32	32	32				
Flawed Amethyst		18	gfv	3	pr96		20	20	pr283	32	32	32					pr216		2	2	pr283	32	32	32					pr328		4	4	pr283	32	32	32				
Amethyst		18	gsv	3	pr96		30	30	pr283	32	32	32					pr216		3	3	pr283	32	32	32					pr328		6	6	pr283	32	32	32				
Flawless Amethyst		18	gzv	3	pr96		40	40	pr283	32	32	32					pr216		4	4	pr283	32	32	32					pr328		8	8	pr283	32	32	32				
Perfect Amethyst		17	gpv	3	pr96		50	50	pr283	32	32	32					pr216		5	5	pr283	32	32	32					pr328		10	10	pr283	32	32	32				
Chipped Saphire		5	gcb	3	pr110		2	2	pr283	32	32	32					pr238		1	1	pr283	32	32	32					pr35		6	6	pr283	32	32	32				
Flawed Saphire		5	gfb	3	pr110		4	4	pr283	32	32	32					pr238		2	2	pr283	32	32	32					pr35		12	12	pr283	32	32	32				
Saphire		5	gsb	3	pr110		6	6	pr283	32	32	32					pr238		3	3	pr283	32	32	32					pr35		18	18	pr283	32	32	32				
Flwless Saphire		5	glb	3	pr110		8	8	pr283	32	32	32					pr238		4	4	pr283	32	32	32					pr35		24	24	pr283	32	32	32				
Perfect Saphire		6	gpb	3	pr110		10	10	pr283	32	32	32					pr238		5	5	pr283	32	32	32					pr35		30	30	pr283	32	32	32				
Chipped Emerald		11	gcg	3	pr28		2	2	pr283	32	32	32					pr53		4	4	pr283	32	32	32					pr39		6	6	pr283	32	32	32				
Flawed Emerald		11	gfg	3	pr28		4	4	pr283	32	32	32					pr53		8	8	pr283	32	32	32					pr39		12	12	pr283	32	32	32				
Emerald		11	gsg	3	pr28		6	6	pr283	32	32	32					pr53		12	12	pr283	32	32	32					pr39		18	18	pr283	32	32	32				
Flawless Emerald		11	glg	3	pr28		8	8	pr283	32	32	32					pr53		16	16	pr283	32	32	32					pr39		24	24	pr283	32	32	32				
Perfect Emerald		12	gpg	3	pr28		10	10	pr283	32	32	32					pr53		20	20	pr283	32	32	32					pr39		30	30	pr283	32	32	32				
Chipped Ruby		7	gcr	3	pr192		2	2	pr283	32	32	32					pr218		1	1	pr283	32	32	32					pr31		6	6	pr283	32	32	32				
Flawed Ruby		7	gfr	3	pr192		4	4	pr283	32	32	32					pr218		2	2	pr283	32	32	32					pr31		12	12	pr283	32	32	32				
Ruby		7	gsr	3	pr192		6	6	pr283	32	32	32					pr218		3	3	pr283	32	32	32					pr31		18	18	pr283	32	32	32				
Flawless Ruby		7	glr	3	pr192		8	8	pr283	32	32	32					pr218		4	4	pr283	32	32	32					pr31		24	24	pr283	32	32	32				
Perfect Ruby		9	gpr	3	pr192		10	10	pr283	32	32	32					pr218		5	5	pr283	32	32	32					pr31		30	30	pr283	32	32	32				
Chipped Diamond		1	gcw	3	pr207		1	1	pr283	32	32	32					pr215		1	1	pr283	32	32	32					pr41		1	1	pr283	32	32	32				
Flawed Diamond		1	gfw	3	pr207		2	2	pr283	32	32	32					pr215		2	2	pr283	32	32	32					pr41		2	2	pr283	32	32	32				
Diamond		1	gsw	3	pr207		3	3	pr283	32	32	32					pr215		3	3	pr283	32	32	32					pr41		3	3	pr283	32	32	32				
Flawless Diamond		1	glw	3	pr207		4	4	pr283	32	32	32					pr215		4	4	pr283	32	32	32					pr41		4	4	pr283	32	32	32				
Perfect Diamond		1	gpw	3	pr207		5	5	pr283	32	32	32					pr215		5	5	pr283	32	32	32					pr41		5	5	pr283	32	32	32				
Chipped Topaz		14	gcy	3	pr291		6	6	pr283	32	32	32					pr217		1	1	pr283	32	32	32					pr33		6	6	pr283	32	32	32				
Flawed Topaz		14	gfy	3	pr291		7	7	pr283	32	32	32					pr217		2	2	pr283	32	32	32					pr33		12	12	pr283	32	32	32				
Topaz		14	gsy	3	pr291		8	8	pr283	32	32	32					pr217		3	3	pr283	32	32	32					pr33		18	18	pr283	32	32	32				
Flawless Topaz		14	gly	3	pr291		9	9	pr283	32	32	32					pr217		4	4	pr283	32	32	32					pr33		24	24	pr283	32	32	32				
Perfect Topaz		13	gpy	3	pr291		10	10	pr283	32	32	32					pr217		5	5	pr283	32	32	32					pr33		30	30	pr283	32	32	32				
Chipped Skull		2	skc	3	pr29		7	7	pr283	32	32	32					pr5		7	7	pr283	32	32	32					pr88		1	1	pr283	32	32	32				
Flawed Skull		2	skf	3	pr29		9	9	pr283	32	32	32					pr5		9	9	pr283	32	32	32					pr88		2	2	pr283	32	32	32				
Skull		2	sku	3	pr29		11	11	pr283	32	32	32					pr5		11	11	pr283	32	32	32					pr88		3	3	pr283	32	32	32				
Flawless Skull		2	skl	3	pr29		13	13	pr283	32	32	32					pr5		13	13	pr283	32	32	32					pr88		4	4	pr283	32	32	32				
Perfect Skull		2	skz	3	pr29		15	15	pr283	32	32	32					pr5		15	15	pr283	32	32	32					pr88		5	5	pr283	32	32	32				
Expansion																																								0
El Rune	El	18	r01	2	pr73		1	1	pr284	32	32	32					pr73		1	1	pr284	32	32	32					pr73		1	1	pr284	32	32	32				
Eld Rune	Eld	18	r02	2	pr96		25	25	pr284	32	32	32					pr96		25	25	pr284	32	32	32					pr96		25	25	pr284	32	32	32				
Tir Rune	Tir	18	r03	2	pr58		75	75	pr284	32	32	32					pr58		50	50	pr284	32	32	32					pr58		50	50	pr284	32	32	32				
Nef Rune	Nef	18	r04	2	pr262		15	15	pr284	32	32	32					pr262		10	10	pr284	32	32	32					pr262		10	10	pr284	32	32	32				
Eth Rune	Eth	18	r05	2	pr28		10	10	pr284	32	32	32					pr28		5	5	pr284	32	32	32					pr28		5	5	pr284	32	32	32				
Ith Rune	Ith	18	r06	2	pr29		15	15	pr284	32	32	32					pr5		15	15	pr284	32	32	32					pr5		15	15	pr284	32	32	32				
Tal Rune	Tal	18	r07	2	pr190		5	5	pr284	32	32	32					pr190		5	5	pr284	32	32	32					pr190		5	5	pr284	32	32	32				
Ral Rune	Ral	18	r08	2	pr183		5	5	pr284	32	32	32					pr183		5	5	pr284	32	32	32					pr183		5	5	pr284	32	32	32				
Ort Rune	Ort	18	r09	2	pr184		5	5	pr284	32	32	32					pr184		5	5	pr284	32	32	32					pr184		5	5	pr284	32	32	32				
Thul Rune	Thul	18	r10	2	pr185		5	5	pr284	32	32	32					pr185		5	5	pr284	32	32	32					pr185		5	5	pr284	32	32	32				
Amn Rune	Amn	18	r11	2	pr212		25	25	pr284	32	32	32					pr212		25	25	pr284	32	32	32					pr212		25	25	pr284	32	32	32				
Sol Rune	Sol	18	r12	2	pr186		5	5	pr284	32	32	32					pr186		5	5	pr284	32	32	32					pr186		5	5	pr284	32	32	32				
Shael Rune	Shael	18	r13	2	pr7		10	10	pr284	32	32	32					pr7		10	10	pr284	32	32	32					pr7		10	10	pr284	32	32	32				
Dol Rune	Dol	18	r14	2	pr27		10	10	pr284	32	32	32					pr27		5	5	pr284	32	32	32					pr27		5	5	pr284	32	32	32				
Hel Rune	Hel	18	r15	2	pr206		5	5	pr284	32	32	32					pr206		5	5	pr284	32	32	32					pr206		5	5	pr284	32	32	32				
