Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	* Laz / temp	* Laz / temp2	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl8	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal			271	1	1	3	150	merc01	merc41	100	1	160	24	1	2	50	4	106	30	204	72	203	10		1	2	2		8	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Normal			271	1	1	25	150	merc01	merc41	100	1	792	48	3	3	50	4	190	30	402	72	230	20	1	4	5	4	44	7	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Normal			271	1	1	49	150	merc01	merc41	100	1	1920	88	6	6	50	4	280	30	618	72	710	30	2	10	11	6	86	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	3	150	merc01	merc41	150	1	160	24	1	2	50	4	106	30	204	72	203	10		1	2	2		8	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	25	150	merc01	merc41	150	1	792	40	3	3	50	4	190	30	402	72	230	20	1	4	5	4	44	7	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Normal		1	271	1	1	49	150	merc01	merc41	150	1	1832	56	6	6	50	4	280	30	618	72	710	30	2	10	11	6	86	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Nightmare		2	271	1	2	25	150	merc01	merc41	6000	1	712	40	3	3	50	4	180	30	378	72	207	20	1	4	5	4	41	7	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Nightmare		2	271	1	2	49	150	merc01	merc41	6000	1	1752	56	6	6	50	4	270	30	594	72	687	30	2	10	11	6	83	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Nightmare		3	271	1	2	25	150	merc01	merc41	7500	1	712	40	3	3	50	4	180	30	378	72	207	20	1	4	5	4	41	7	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Nightmare		3	271	1	2	49	150	merc01	merc41	7500	1	1752	56	6	6	50	4	270	30	594	72	687	30	2	10	11	6	83	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Hell		4	271	1	3	49	150	merc01	merc41	12500	1	1576	56	5	6	50	4	262	30	572	72	618	30	2	9	10	6	80	5	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Ice - Hell		5	271	1	3	49	150	merc01	merc41	14000	1	1576	56	5	6	50	4	262	30	572	72	618	30	2	9	10	6	80	5	bow		carw	5	sk23	4	130		3		sk388	4	15		1		sk131	4	20		4	0	sk17	4	25		2	8	sk911	4	10		2		sk907	4	1000		1		2	1	2	
Rogue Scout	Fire - Normal	100		271	1	1	3	150	merc01	merc41	100	1	160	32	1	2	50	4	106	30	204	72	203	12		1	2	2		8	bow		farw	5	sk751	4	140		5		sk558	4	15		7		sk969	4	20		2	0	sk931	4	10		7		sk644	4	10		2		sk907	4	1000		1		2	1	2	
