Stat	ID	* Laz / comments	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is0	0		1		11			1		12			1	1		125	55	1024		7	32	12	100																	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib		6	0
is1	1				11			1		12			1	1		100	55	1024		7	32	12	100			8			is9											61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is2	2		1		11			1		12			1	1		125	55	1024		7	32	12	100																	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is3	3				11			1		12			1	1		100	55	1024		7	32	12	100			9			is7	is11										63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib			0
is4	4				9			1		11								1024																																			0
is5	5				9			1		9								1024																																			0
is6	6				32			1		21								1024	8													1	is7																				0
is7	7				32			1		21		1	1	1		56	20	1024	8	8	32	11	150																	59	1	1	ModStr1u	ModStr1u									0
is8	8				32			1		21								1024	8						1							1	is9																				0
is9	9				32			1		21		1	1			81	20	1024	8	8	32	11	150																	55	1	1	ModStr1e	ModStr1e									0
is10	10				32			1		21								1024	8						1							1	is11																				0
is11	11				32			1		21		1	1			75	20	1024	8	8	32	10	150																	51	1	1	ModStr5d	ModStr5d									0
is12	12				9			1		7								1024																																			0
is13	13				32			1		32								1024																																			0
is14	14				32			1		25								1024																																			0
is15	15				32			1		25								1024																																			0
is16	16			1	11											47	20	1024		9		10	673			1			is31											74	4	1	Modstr2v	Modstr2v									0
is17	17			1	11											15	10	1024		9		10	673			1			is22	is24	is160				1					129	3		ModStr2j	ModStr2j									0
is18	18			1	11											15	10	1024		9		10	673			1			is21	is23	is159				1					130	3		ModStr2k	ModStr2k									0
is19	19			1	16											15	10	1024		10		10													1					115	1	1	ModStr1h	ModStr1h									0
is20	20			1	10											89	204	1024		6		9	257																	134	2	1	ModStr3g	ModitemNegBlock									0
is21	21			1	16											122	200	1024		6		11													1					127	1	1	ModStr1g	ModStr1g									0
is22	22			1	16											94	100	1024		7		11													1					126	1	1	ModStr1f	ModStr1f									0
is23	23			1	16											76	128	1024		6		11													1					124	1	1	ModStr1g	ModStr1g									0
is24	24			1	16											88	128	1024		7		11													1					123	1	1	ModStr1f	ModStr1f									0
is25	25			1	12											45	40	1024		8		9	50												1					80	4	2	ModTotPhysDmg	ModNegPhysDmgZ									0
is26	26																	1024		8		10																															0
is27	27			1	16													1024		8		8																		52	4	2	ModStr4g	ModStr4g									0
is28	28			1	16													1024		8		10																		48	2	2	ModStr3v	ModStr3v									0
is29	29				32													1024																																			0
is30	30				32													1024																																			0
is31	31			1	16											17	10	1024		10	10	15	500																	71	1	1	ModStr1i	ModStr1i									0
is32	32			1	16											11	5	1024		8		11	250																	69	1	1	ModStr6a	ModStr6a									0
is33	33			1	16											13	7	1024		8		10																		70	1	1	ModStr6b	ModStr6b									0
is34	34			1	10											188	200	1024		6	30	10	110																	22	3	2	ModStr2u	ModStr2u									0
is35	35			1	10											397	340	1024		6	30	10	30																	21	3	2	ModStr2t	ModStr2t									0
is36	36			1	9											152	68	1024		8		10	100																	22	2	2	ModStr2u	ModitemCursedDR									0
is37	37			1	9											164	68	1024		8		8	100																	41	4	2	ModStr1m	ModStr1m									0
is38	38			1	9											1091	409	1024		5		8	100																	46	4	1	ModStr5x	ModStr5x									0
is39	39			1	9											43	20	1024		8		8	100																	36	4	2	ModStr1j	ModStr1j		2	4	2	ItemmodAllRes	ItemmodAllRes			0
is40	40			1	9											584	256	1024		5		8	100																	42	4	1	ModStr5u	ModStr5u		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
is41	41			1	9											43	20	1024		8		8	100																	38	4	2	ModStr1l	ModStr1l		2	4	2	ItemmodAllRes	ItemmodAllRes			0
is42	42			1	9											584	256	1024		5		8	100																	43	4	1	ModStr5w	ModStr5w		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
is43	43			1	9											43	20	1024		8		8	100																	40	4	2	ModStr1k	ModStr1k		2	4	2	ItemmodAllRes	ItemmodAllRes			0
is44	44			1	9											584	256	1024		5		8	100																	44	4	1	ModStr5v	ModStr5v		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
is45	45			1	9											43	20	1024		8		8	100																	34	4	2	ModStr1n	ModStr1n		2	4	2	ItemmodAllRes	ItemmodAllRes			0
is46	46			1	9											526	256	1024		5		8	100																	45	4	1	ModStr5y	ModStr5y		7	4	1	ItemmodAllMaxRes	ItemmodAllMaxRes			0
is47	47			1	16													1024																																			0
is48	48			1	16											11	10	1024		8		12													1					102	1	1	ModStr1p	ModStr1p									0
is49	49			1	16											19	10	1024		8		12													1					101	1	1	ModStr1o	ModStr1o									0
is50	50			1	16											12	10	1024		6		12													1					99	1	1	ModStr1r	ModStr1r									0
is51	51			1	16											17	10	1024		9		12													1					98	1	1	ModStr1q	ModStr1q									0
is52	52			1	16											196	20	1024		6		12													1					104	1	1	strModMagicDamage	strModMagicDamage									0
is53	53			1	16											183	20	1024		7		12													1					103	1	1	strModMagicDamage	strModMagicDamage									0
is54	54			1	16											451	512	1024		6		12													1					96	1	1	ModStr1t	ModStr1t									0
is55	55			1	16											128	340	1024		8		12													1					95	1	1	ModStr1s	ModStr1s									0
is56	56			1	16											77	4	1024		8		10													1																		0
is57	57			1	19											12	28	1024		9		14													1					92	1	1	ModStr4i	ModStr4i									0
is58	58			1	19											11	34	1024		9		14													1					91	1	1	ModStr4h	ModStr4h									0
is59	59			1	16												4	1024		8		12													1																		0
is60	60			1	16											1044	341	1024		7		10													1					88	2	1	ModStr2z	ModStr2z									0
is61	61			1	16													1024																	1																		0
is62	62			1	16											1179	341	1024		7		10													1					89	2	1	ModStr2y	ModStr2y									0
is63	63			1	16													1024																	1																		0
is64	64			1	16											1288	341	1024		7		10													1					90	2	1	ModitemStamDrain	ModitemStamDrain									0
is65	65			1	16													1024																	1																		0
is66	66				16											25	4	1024				10													1					88	3		Moditemstun	Moditemstun									0
is67	67		1	1	10		1											1024		7	30	10	20																														0
is68	68		1	1	10		1											1024		7	30	10	20												1																		0
is69	69		1	1	10		1											1024																																			0
is70	70			1	16													1024																1	1																		0
is71	71			1	9													1024		8	100	8	100											1																			0
is72	72			1	9													1024		8		10	150									1	is73	1																			0
is73	73			1	9											9	4	1024		8		10	90											1																			0
is74	74															45	41	1024		6	30	15	500																	56	1	2	ModStr2l	ModStr2w									0
is75	75			1	7											117	10	1024		7	20	10	100			1			is73											4	2	2	ModStr2i	ModitemCursedDur									0
is76	76			1	16											112	8	1024		6	10	10	100			11			is7											58	2	2	ModStr2g	ModitemCursedHPPct		10	2	2	ModitemHPManaP	ModitemHPManaP			0
is77	77			1	16											112	8	1024		6	10	10	100			11			is9											54	2	2	ModStr2h	ModitemCursedMPPct		10	2	2	ModitemHPManaP	ModitemHPManaP			0
is78	78			1	16							1				112	128	1024		7		10														ev1	6	ev2	6	13	3	2	ModStr1v	ModStr1v									0
is79	79			1	10											187	34	1024		9	100	11	75																	10	2	1	ModStr1w	ModitemCursedGold									0
is80	80			1	10											577	102	1024		8	100	11	75																	8	2	1	ModStr1x	ModitemCursedMF									0
is81	81			1	8							1				105		1024		7		2													1	ev5	7	ev6	7	76	3		ModStr1y	ModStr1y									0
is82	82			1	10													1024		9	20	9	20																														0
is83	83			1	3	3						1				224	51	1024		3		4		3																150	13	1	ModStr3a	ModStr3a									0
is84	84																	1024		3																																	0
