Name	Id	* zone name	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	*Laz/arc	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	* Laz / todo	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
																						1	1																																				25	50																																																																																												255																				1
Rogue Encampment	1							56	40	56	40	56	40	-1	-1		1	1				1	1			2	1	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		180	212	255	224	1	1			2025		25	50																																																																														ms149				30									1		Rogue Encampment	To The Rogue Encampment	A1L1																	1
Blood Moor	2							80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6		4	5				8	8	8	8		-1	-1	-1		1	2	3	-1		96	212	255	224			1		4500	1	55	120	1	53	120	1000	1000	1000							1		5		ms751	ms846	ms760	ms914	ms1772																	ms751	ms846	ms760	ms914	ms1772																ms751	ms846	ms760	ms914	ms1772																													2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34					3	17	17	17					1
Cold Plains	3							80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	1	4	5				9	9	9	9		-1	-1	-1		1	2	3	-1		96	212	255	224	1		1		4500	8	56	120	8	55	120	600	600	600							1		10		ms760	ms727	ms821	ms850	ms855	ms770	ms874	ms1177	ms1580	ms1793												ms760	ms727	ms821	ms850	ms855	ms770	ms874	ms1177	ms1580	ms1793											ms760	ms727	ms821	ms850	ms855	ms770	ms874	ms1580	ms1793																									2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34					3	22	22	22					1
Stony Field	4							80	80	80	80	80	80	1000	1000		1	1				1	1	1		3	2	6	2	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1		96	212	255	224			1		4500	10	57	120	10	58	120	600	600	600							1		11		ms860	ms821	ms771	ms800	ms727	ms874	ms1178	ms1563	ms1729	ms1793	ms1817											ms860	ms821	ms771	ms800	ms727	ms874	ms1178	ms1563	ms1729	ms1793	ms1817										ms860	ms821	ms771	ms800	ms727	ms874	ms1563	ms1729	ms1793																									2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34					4	27	27	27					1
Dark Wood	5							80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	3	4	5				10	10	10	10		-1	-1	-1		1	2	3	-1		4	48	24		1		1		4500	12	57	120	12	61	120	600	600	600							1		10		ms800	ms851	ms856	ms771	ms752	ms918	ms1181	ms1563	ms1735	ms1729												ms800	ms851	ms856	ms771	ms752	ms918	ms1181	ms1563	ms1735	ms1729											ms800	ms851	ms856	ms771	ms752	ms918	ms1563	ms1735	ms1729																									2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34					4	30	30	30					1
Black Marsh	6							80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	4	4	5			20	11	11	11	11		-1	-1	10		1	2	3	-1		96	212	255	224			1		4500	13	58	120	13	62	120	600	600	600							1		9		ms795	ms1779	ms856	ms918	ms861	ms771	ms822	ms1183	ms1565													ms795	ms1779	ms856	ms918	ms861	ms771	ms822	ms1183	ms1565												ms795	ms1779	ms856	ms918	ms861	ms771	ms822	ms1565																										2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34					5	32	32	32					1
Tamoe Highland	7							80	80	80	80	80	80	-1	-1		1	1				1	1	1		3	2	6	2	4	5				12	12	12	12		-1	-1	-1		1	2	3	-1		64	212	255	224	1		1		4500	14	58	120	14	64	120	1000	1000	1000							1		11	WITCH AREA	ms918	ms861	ms772	ms822	ms847	ms795	ms761	ms728	ms1184	ms1565	ms1817											ms918	ms861	ms772	ms822	ms847	ms795	ms761	ms728	ms1184	ms1565	ms1704										ms918	ms861	ms772	ms822	ms847	ms795	ms761	ms728	ms1565																									2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34					5	35	35	35					1
Den of Evil	8						1	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	3	-1	-1	-1	-1	2								4	-1	-1	-1	-1	-1	-1	-1		16	128	255	192			1	1	2025	5	55	120	5	51	120	750	750	750									5		ms942	ms939	ms940	ms938	ms1177																	ms942	ms939	ms940	ms938	ms1177																ms942	ms939	ms940	ms938																	ms151	ms159			30	30								4	255	Den of Evil	To The Den of Evil	A1L9	6	4							35	45							1
Cave Level 1	9						2	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	3	-1	-1	-1	-1	3				13				4	-1	-1	-1	5	-1	-1	-1		16	128	255	192			1		2025	8	56	120	8	55	120	750	750	750							1		5		ms770	ms914	ms760	ms727	ms1177																	ms770	ms914	ms760	ms727	ms1177																ms770	ms914	ms760	ms727																	ms151	ms159			30	30								4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4							30	3							1
