Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	* Laz / Notes	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
NoDesc	1	1	1	3	23	2				178	101	pr5		21	30												armo														
NoDesc	1	1	1	5	27	4				12	101	pr5		31	40												armo														
NoDesc	1	1	1	8	31	6				102	101	pr5		41	50												armo														
NoDesc	1	1	1	10	35	8				192	101	pr5		51	60												armo														
NoDesc	1	1	1	12	39	10				177	101	pr5		61	70												armo														
NoDesc	1	1	1	15	43	12				2	101	pr5		71	80												armo														
NoDesc	1	1	1	17	47	14				83	101	pr5		81	90												armo														
NoDesc	1	1	1	20	51	16				164	101	pr5		91	100												armo														
NoDesc	1	1	1	22	55	18				104	101	pr5		101	110												armo														
NoDesc	1	1	1	24	59	20				176	101	pr5		111	120												armo														
NoDesc	1	1	1	27	63	22				248	101	pr5		121	130												armo														
NoDesc	1	1	1	29	67	24				64	101	pr5		131	140												armo														
NoDesc	1	1	1	32	71	26				143	101	pr5		141	150												armo														
NoDesc	1	1	1	34	75	28				229	101	pr5		151	160												armo														
NoDesc	1	1	1	36	79	30				67	101	pr5		161	170												armo														
NoDesc	1	1	1	39	83	32				170	101	pr5		171	180												armo														
NoDesc	1	1	1	41	87	34				27	101	pr5		181	190												armo														
NoDesc	1	1	1	44	90	36				151	101	pr5		191	200												armo														
NoDesc	1	1	1	46	90	38				31	101	pr5		201	210												armo														
NoDesc	1	1	1	48	90	40				180	101	pr5		211	220												armo														
NoDesc	1	1	1	51	90	42				87	101	pr5		221	230												armo														
NoDesc	1	1	1	53	90	44				10	101	pr5		231	240												armo														
NoDesc	1	1	1	56	90	46				206	101	pr5		241	250												armo														
NoDesc	1	1	1	58		48				165	101	pr5		251	260												armo														
NoDesc	1	1	1	60		50				145	101	pr5		261	270												armo														
NoDesc	1	1	1	63		52				148	101	pr5		271	280												armo														
NoDesc	1	1	1	65		54				176	101	pr5		281	300												armo														
NoDesc	1	1	1	80		66				232	101	pr5		301	350												armo														
NoDesc	1	1	1	19	68	16				45	102	pr104		1	1												amul	circ	tors					stor							
NoDesc	1	1	1	38		32				213	102	pr104		2	2												amul	circ	tors					stor							
NoDesc	1	1	1	80		66				65	102	pr104		3	3												amul	circ													
NoDesc	1	1	1	36		30				199	102	pr104		1	1												ring														
NoDesc	1	1	1	8	33	7				118	102	pr67		1	1												bow	spea	jave	scep	xbow	azhm	azsd	nxbw	dbow	pspe					
NoDesc	1	1	1	24	58	20				5	102	pr67		2	2												bow	spea	jave	scep	xbow	azhm	azsd	nxbw	dbow	pspe					
NoDesc	1	1	1	39	83	32				148	102	pr67		3	3												bow	spea	jave	scep	xbow	azhm	azsd	nxbw	dbow	pspe					
NoDesc	1	1	1	54		45				35	102	pr67		4	4												bow	spea	jave	scep	xbow	azhm	azsd	nxbw	dbow	pspe					
NoDesc	1	1	1	48		40				123	102	pr67		1	1												glov	misl													
NoDesc	1	1	1	7	30	6				132	102	pr122		1	1												nagi														
NoDesc	1	1	1	17	47	14				175	102	pr122		2	2												nagi														
NoDesc	1	1	1	28	65	23				218	102	pr122		3	3												nagi														
NoDesc	1	1	1	38	82	32				5	102	pr122		4	5												nagi														
NoDesc	1	1	1	48		40				48	102	pr122		6	7												nagi														
NoDesc	1	1	1	59		49				91	102	pr122		8	10												nagi														
NoDesc	1	1	1	8	33	7				118	102	pr122		1	1												h2h	ishd	pole					nknf	scyh	nagi					
NoDesc	1	1	1	24	58	20				5	102	pr122		2	2												h2h	ishd	pole					nknf	scyh	nagi					
NoDesc	1	1	1	39	83	32				148	102	pr122		3	3												h2h	ishd	pole					nknf	scyh	nagi					
NoDesc	1	1	1	54		45				35	102	pr122		4	4												h2h	ishd	pole					nknf	scyh	nagi					
NoDesc	1	1	1	48		40				123	102	pr122		1	1												boot	tkni													
NoDesc	1	1	1	8	33	7				118	102	pr71		1	1												bswd	baxe	pole					scyh	nagi						
NoDesc	1	1	1	24	58	20				5	102	pr71		2	2												bswd	baxe	pole					scyh	nagi						
NoDesc	1	1	1	39		32				148	102	pr71		3	3												bswd	baxe	pole					scyh	nagi						
NoDesc	1	1	1	54		45				35	102	pr71		4	4												bswd	baxe	pole					scyh	nagi						
NoDesc	1	1	1	8	33	7				118	102	pr71		1	1												swor	axe	phlm	basd				bswd	baxe	scrd					
NoDesc	1	1	1	39		32				148	102	pr71		2	2												swor	axe	phlm	basd				bswd	baxe	scrd					
NoDesc	1	1	1	48		40				123	102	pr71		1	1												belt	shie						ashd	ishd	basd	azsd	head			
NoDesc	1	1	1	7	30	6				132	102	pr121		1	1												dstf	dbow													
NoDesc	1	1	1	17	47	14				175	102	pr121		2	2												dstf	dbow													
NoDesc	1	1	1	28	65	23				218	102	pr121		3	3												dstf	dbow													
NoDesc	1	1	1	38	82	32				5	102	pr121		4	4												dstf	dbow													
NoDesc	1	1	1	48		40				48	102	pr121		5	5												dstf	dbow													
NoDesc	1	1	1	59		49				91	102	pr121		6	6												dstf	dbow													
NoDesc	1	1	1	64		53				229	102	pr121		7	7												dstf														
NoDesc	1	1	1	68		57				111	102	pr121		8	8												dstf														
NoDesc	1	1	1	73		61				249	102	pr121		9	9												dstf														
