Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	* Laz / notes	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
NoDesc	1	1	1	1	21					84	201	pr0		21	40												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	8	33	7				120	201	pr0		41	60												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	16	45	13				117	201	pr0		61	80												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	23	57	19				144	201	pr0		81	100												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	30	69	25				171	201	pr0		101	120												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	37	81	31				198	201	pr0		121	140												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	44	90	37				225	201	pr0		141	160												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	52	90	43				168	201	pr0		161	180												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	59	90	49				186	201	pr0		181	200												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	66		55				204	201	pr0		201	220												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	80		66				238	201	pr0		221	400												staf	bow	xbow	pham	pspe										
NoDesc	1	1	1	1	21					105	201	pr0		11	25												amul	misl	spea					pspe							
NoDesc	1	1	1	11	37	9				165	201	pr0		26	40												amul	misl	spea					pspe							
NoDesc	1	1	1	18	49	15				210	201	pr0		41	55												amul	misl	spea					pspe							
NoDesc	1	1	1	25	61	21				255	201	pr0		56	70												amul	misl	spea					pspe							
NoDesc	1	1	1	32	73	27				44	201	pr0		71	85												amul	misl	spea					pspe							
NoDesc	1	1	1	40	85	33				20	201	pr0		86	100												amul	misl	spea					pspe							
NoDesc	1	1	1	47	90	39				56	201	pr0		101	115												amul	misl	spea					pspe							
NoDesc	1	1	1	54	90	45				92	201	pr0		116	130												amul	misl	spea					pspe							
NoDesc	1	1	1	61	90	51				32	201	pr0		131	145												amul	misl	spea					pspe							
NoDesc	1	1	1	68		57				59	201	pr0		146	160												amul	misl	spea					pspe							
NoDesc	1	1	1	76		63				228	201	pr0		161	200												amul	misl	spea					pspe							
NoDesc	1	1	1	1	21					84	201	pr0		6	10												ring														
NoDesc	1	1	1	13	41	11				144	201	pr0		11	15												ring														
NoDesc	1	1	1	25	61	21				153	201	pr0		16	20												ring														
NoDesc	1	1	1	37	81	31				132	201	pr0		21	25												ring														
NoDesc	1	1	1	49		41				162	201	pr0		26	30												ring														
NoDesc	1	1	1	2	22	2				66	202	pr191		1	2											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	9	34	8				93	202	pr191		3	4											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	16	46	14				120	202	pr191		5	6											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	24	58	20				147	202	pr191		7	8											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	31	70	26				174	202	pr191		9	10											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	38	82	32				201	202	pr191		11	12											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	45	90	38				228	202	pr191		13	14											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	52	90	44				255	202	pr191		15	16											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	60	90	50				26	202	pr191		17	18											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	67		56				53	202	pr191		19	20											whit	amul	belt	azhm	pzhm	phlm										
NoDesc	1	1	1	12	38	10				102	202	pr191		1	2											whit	ring														
NoDesc	1	1	1	27	63	22				159	202	pr191		3	4											whit	ring														
NoDesc	1	1	1	42	89	35				216	202	pr191		5	6											whit	ring														
NoDesc	1	1	1	57	90	48				17	202	pr191		7	8											whit	ring														
NoDesc	1	1	1	72		60				74	202	pr191		9	10											whit	ring														
NoDesc	1	1	1	18	49	15				126	202	pr191		1	1											whit	helm	boot						azhm	pzhm	phlm					
NoDesc	1	1	1	32	73	27				180	202	pr191		2	2											whit	helm	boot						azhm	pzhm	phlm					
NoDesc	1	1	1	47	90	39				234	202	pr191		3	3											whit	helm	boot						azhm	pzhm	phlm					
NoDesc	1	1	1	61	90	51				32	202	pr191		4	4											whit	helm	boot						azhm	pzhm	phlm					
NoDesc	1	1	1	76		63				86	202	pr191		5	5											whit	helm	boot						azhm	pzhm	phlm					
NoDesc	1	1	1	1	21					168	203	pr190		1	3											lgld	tors	bswd	baxe												
NoDesc	1	1	1	8	31	6				232	203	pr190		3	5											lgld	tors	bswd	baxe												
NoDesc	1	1	1	14	42	12				40	203	pr190		6	8											lgld	tors	bswd	baxe												
NoDesc	1	1	1	20	53	17				104	203	pr190		9	11											lgld	tors	bswd	baxe												
NoDesc	1	1	1	27	63	22				168	203	pr190		11	13											lgld	tors	bswd	baxe												
NoDesc	1	1	1	33	74	28				232	203	pr190		14	16											lgld	tors	bswd	baxe												
NoDesc	1	1	1	40	85	33				40	203	pr190		17	19											lgld	tors	bswd	baxe												
NoDesc	1	1	1	46	90	38				27	203	pr190		19	21											lgld	tors	bswd	baxe												
NoDesc	1	1	1	52	90	44				83	203	pr190		22	24											lgld	tors	bswd	baxe												
NoDesc	1	1	1	59	90	49				139	203	pr190		25	30											lgld	tors	bswd	baxe												
NoDesc	1	1	1	80		66				65	203	pr190		31	40											lgld	tors	bswd	baxe												
NoDesc	1	1	1	80		66				65	203	pr190		41	50											lgld	tors	bswd	baxe												
NoDesc	1	1	1	1	21					168	203	pr190		1	2											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	13	41	11				32	203	pr190		3	4											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	25	61	21				152	203	pr190		5	6											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	37	81	31				16	203	pr190		7	8											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	49	90	41				55	203	pr190		9	10											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	61	90	51				160	203	pr190		11	14											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	73		61				9	203	pr190		15	20											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	80		66				65	203	pr190		21	30											lgld	belt	boot	glov	helm	amul	weap		bswd	baxe						
NoDesc	1	1	1	1	21					126	203	pr190		1	2											lgld	ring														
NoDesc	1	1	1	14	42	12				222	203	pr190		3	4											lgld	ring														
NoDesc	1	1	1	40	86	34				164	203	pr190		5	7											lgld	ring														
NoDesc	1	1	1	57		48				199	203	pr190		8	10											lgld	ring														
NoDesc	1	1	1	37	81	31				132	203	pr219		5	5												tors	bswd	baxe												
NoDesc	1	1	1	59		49				186	203	pr219		10	10												tors	bswd	baxe												
NoDesc	1	1	1	1	21					168	203	pr7		1	5											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	8	31	6				232	203	pr7		6	10											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	14	42	12				40	203	pr7		11	15											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	20	53	17				104	203	pr7		16	20											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	27	63	22				168	203	pr7		21	25											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	33	74	28				232	203	pr7		26	30											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
NoDesc	1	1	1	40	85	33				40	203	pr7		31	35											blac	mele	tors	phlm	ashd	xbow	pzhm		staf	wand	orb					
