name	*name	*Laz / status	*Laz / information	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	minac	maxac	speed	nodurability	cost	gamble cost	auto prefix	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	*eol
elx 	elixir				1		21		4	1				1	20			elx 	elx 	elx	16	1	1				flppot	invpot				xxx 			1	0	elix		so237	14	so238			5											-1	8					is13	5											non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
hpo 	Healing Potion				1				1					1	30			hpo 	hpo 		16	1	1				flprps	invrps				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
mpo 	Mana Potion				1				1					1	30			mpo 	mpo 		16	1	1				flpbps	invbps				xxx 			1	0	mpot		so237	14	so238			5		1									-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
hpf 	Full Healing Potion				1				2					1	150			hpf 	hpo 		16	1	1				flprpl	invrpl				xxx 			1	0	hpot		so237	14	so238			5		1	1								-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
mpf 	Full Mana Potion				1				2					1	150			mpf 	mpo 		16	1	1				flpbpl	invbpl				xxx 			1	0	mpot		so237	14	so238			5		1									-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
vps 	Stamina Potion				1				1	1				1	25			vps 	vps 	vps	16	1	1				flpwps	invwps				xxx 			1	0	spot		so237	14	so238			5		1									-1	9	st219			750	is28	5000											non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
yps 	Antidote Potion				1				1	1				1	40			yps 	yps 	yps	16	1	1				flpnps	invnps				xxx 			1	0	apot		so237	14	so238			5		1									-1	6																	non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
rvs 	Rejuv Potion				1				2					1	300			rvs 	yps 	rvs	16	1	1				flpvps	invvps				xxx 			1	0	rpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	200	is74	(stat('is7'.accr)/200)*(1-stat('is448'.accr))	is27	50			1	ItemStatsrejuvn1					non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
rvl 	Full Rejuv Potion				1				2					1	750			rvl 	ypl 	rvl	16	1	1				flpvpl	invvpl				xxx 			1	0	rpot		so237	14	so238			5		1	1								-1	6	st191	st2	st191	150	is74	(stat('is7'.accr)/150)*(1-stat('is448'.accr))	is27	150			1	ItemStatsrejuvn2					non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
wms 	Thawing Potion				1				2	1				1	25			wms 	yps 	wms	16	1	1				flpyps	invyps				xxx 			1	0	wpot		so237	14	so238			5		1									-1	6																	non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 			1	1		0
tbk 	Town Portal Book								2	1				1	50			tbk 	bbk 	tbk	16	1	2				flpbbk	invbbk				xxx 			1	0	book		so207	12	so207			5				1	1	100	5				-1	2																	non 						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx 	xxx 			1			0
ibk 	Identify Book								2	1				1	100			ibk 	rbk 	ibk	16	1	2				flprbk	invrbk				xxx 			1	0	book		so207	12	so207			5				1	1	100	5				-1	1																	non 						255					255	11	17			255					255					255	11	17	11	17	255					255					255	11	17	11	17	255					255					255					255					255	5	7			255					255					255	5	7			255						xxx 	xxx 			1			0
amu 	amulet						1		4	1				1	650	7500		amu 	amu 	amu	16	1	1				flpamu	invamu				xxx 				0	amul		so205	12	so205			5											-1																		non 	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
vip 	viper amulet						15		4					1	400			vip 	vip 	vip	16	1	1				flpamu	invvip	invvip			xxx 				0	amul		so205	12	so205			5								10	1		-1																		non 	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					1	xxx 	xxx 						0
rin 	ring						1		4	1				1	500	5000		rin 	rin 	rin	16	1	1				flprin	invrin				xxx 				0	ring		so241	12	so241			5											-1																		non 	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
gld 	gold				1				1	1				1				gld 	gld 	gld	16	1	1				flpgld	invgld				xxx 				0	gold		so221	12	so221			5				1		5000					-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
bks 	Bark Scroll				1									1	100			bks 	bks 	bks	16	2	2				flpscr	invscb				xxx 				0	ques		so243	10	so243	1		5								5	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
bkd 	deciphered Bark Scroll				1									1	12000			bkd 	bkd 	bkd	16	2	2				flpscr	invscb				xxx 				0	ques		so243	10	so243	1		5								5	1		-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
aqv 	Arrows								1	1				1	64			aqv 	aqv 	aqv	16	1	3				flpqvr	invqvr				xxx 				0	bowq		so239	12	so239			5				1	100	500	200				-1																1		non 		3	5			255	1	3			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255	3	4			255					255						xxx 	xxx 			1			0
tch 	Torch				1									1	50			tch 	bsh 	tch	7	1	2				flptrch	invtrch				xxx 				0	torc		so245	12	so245		1	3	6				2	10					-1																		non 						255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 						0
cqv 	Bolts								1	1				1	64			cqv 	cqv 	cqv	16	1	3				flpqvr	invcqv				xxx 				0	xboq		so239	12	so239			5				1	60	500	150				-1																1		non 		3	5			255	1	3			255					255	3	4	3	4	255					255					255	3	4	3	4	255					255					255	2	3			255	2	3			255					255	3	4			255					255	3	4			255	3	4			255					255						xxx 	xxx 			1			0
