Missile	Id	* Laz / status	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoMultiShot	Holy	*Laz / Slow	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Qty	Pierce	SpecialSetup	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
ml0	0		1		1																																																	24	24			30				255	255	255	1			Arrow	1024	1	16					3	1		1		1							1				1						1		1	1				1					4		8		128																																		10	32			so309	so0	so0																	0
ml1	1		1		1																																																	24	24			40				255	255	255				Javelin	1024	1	16					3	1		1		1							1				1						1		1	1				1					4		8		128																																		6	32			so259	so0	so0																	0
ml2	2		1		1																																																	8	8			40		5		143	143	255	3		1	BigheadLightningMissile	1024	3	16					3	1		1		1							1										1		1	1			1						4		8		128																ltng																			1			so429	so2413	so0		ml33															0
ml3	3		1		1																																																	12	12			40		5		143	143	255	3		1	BigheadLightningMissile	1024	3	16					3	1		1		1							1										1		1	1			1						4		8		128																ltng																			1			so429	so2413	so0		ml33															0
ml4	4		1		1																																																	14	14			40		5		143	143	255	3		1	BigheadLightningMissile	1024	3	16					3	1		1		1							1										1		1	1			1						4		8		128																ltng																			1			so429	so2413	so0		ml33															0
ml5	5		1		1																																																	10	10			40		5		143	143	255	3		1	BigheadLightningMissile	1024	3	16					3	1		1		1							1										1		1	1			1						4		8		128																ltng																			1			so429	so2413	so0		ml33															0
ml6	6		1		1																																																	16	16			40		5		143	143	255	3		1	BigheadLightningMissile	1024	3	16					3	1		1		1							1										1		1	1			1						4		8		128																ltng																			1			so429	so2413	so0		ml33															0
ml7	7		1	25	1	20																												40	target seek range	1	missiles					40	target seek range	1	missiles									10	10			50				255	255	255	1		1	SpikeFiendMissle	1024	2	16						1		1		1							1					1					1		1	1									4		8		128																																		10	32			so0	so0	so0						ml1022							ml1022				0
ml8	8		1	25	1	20																												40	target seek range	1	missiles					40	target seek range	1	missiles									10	10			50				255	255	255	1		1	SpikeFiendMissle	1024	2	16						1		1		1							1					1					1		1	1									4		8		128																																		10	32			so0	so0	so0						ml1023							ml1023				0
ml9	9		1	25	1	20																												40	target seek range	1	missiles					40	target seek range	1	missiles									10	10			50				255	255	255	1		1	SpikeFiendMissle	1024	2	16						1		1		1							1					1					1		1	1									4		8		128																																		10	32			so0	so0	so0						ml1024							ml1024				0
ml10	10		1	25	1	20																												40	target seek range	1	missiles					40	target seek range	1	missiles									10	10			50				255	255	255	1		1	SpikeFiendMissle	1024	2	16						1		1		1							1					1					1		1	1									4		8		128																																		10	32			so0	so0	so0						ml1025							ml1025				0
