AI	*eol
ma0	0
ma1	0
ma2	0
ma3	0
ma4	0
ma5	0
ma6	0
ma7	0
ma8	0
ma9	0
ma10	0
ma11	0
ma12	0
ma13	0
ma14	0
ma15	0
ma16	0
ma17	0
ma18	0
ma19	0
ma20	0
ma21	0
ma22	0
ma23	0
ma24	0
ma25	0
ma26	0
ma27	0
ma28	0
ma29	0
ma30	0
ma31	0
ma32	0
ma33	0
ma34	0
ma35	0
ma36	0
ma37	0
ma38	0
ma39	0
ma40	0
ma41	0
ma42	0
ma43	0
ma44	0
ma45	0
ma46	0
ma47	0
ma48	0
ma49	0
ma50	0
ma51	0
ma52	0
ma53	0
ma54	0
ma55	0
ma56	0
ma57	0
ma58	0
ma59	0
ma60	0
ma61	0
ma62	0
ma63	0
ma64	0
ma65	0
ma66	0
ma67	0
ma68	0
ma69	0
ma70	0
ma71	0
ma72	0
ma73	0
ma74	0
ma75	0
ma76	0
ma77	0
ma78	0
ma79	0
ma80	0
ma81	0
ma82	0
ma83	0
ma84	0
ma85	0
ma86	0
ma87	0
ma88	0
ma89	0
ma90	0
ma91	0
ma92	0
ma93	0
ma94	0
ma95	0
ma96	0
ma97	0
ma98	0
ma99	0
ma100	0
ma101	0
ma102	0
ma103	0
ma104	0
ma105	0
ma106	0
ma107	0
ma108	0
ma109	0
ma110	0
ma111	0
ma112	0
ma113	0
ma114	0
ma115	0
ma116	0
ma117	0
ma118	0
ma119	0
ma120	0
ma121	0
ma122	0
ma123	0
ma124	0
ma125	0
ma126	0
ma127	0
ma128	0
ma129	0
ma130	0
ma131	0
ma132	0
ma133	0
ma134	0
ma135	0
ma136	0
ma137	0
ma138	0
ma139	0
ma140	0
ma141	0
ma142	0
ma143	0
