Id	* Laz / Reasoning	prop1	* Laz / skill 1	chance1	par1	min1	max1	prop2	* Laz / skill 2	chance2	par2	min2	max2	prop3	* Laz / skill 3	chance3	par3	min3	max3	prop4	* Laz / skill 4	chance4	par4	min4	max4	prop5	* Laz / skill 5	chance5	par5	min5	max5	prop6	* Laz / skill 6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
mp0		pr201						pr205			68	1	1	pr127	Pet Corpse on Death		683	5	1	pr205			91			pr475				25	25							pr201					pr205		68	1	1	pr127		683	5	1	pr205		91			pr475			25	25						pr201					pr205		68	1	1	pr127		683	5	1	pr205		91			pr475			25	25						0
mp1		pr201				1	1	pr205			68	1	1	pr475				25	25																			pr201			1	1	pr205		68	1	1	pr475			25	25																pr201			1	1	pr205		68	1	1	pr475			25	25																0
mp2		pr201						pr205			68	1	1	pr475				25	25																			pr201					pr205		68	1	1	pr205		2			pr475			25	25											pr201					pr205		68	1	1	pr205		2			pr475			25	25											0
mp3		pr201						pr205			68	1	1	pr126			795	100	10	pr205			90			pr475				25	25							pr201					pr205		68	1	1	pr126		795	100	10	pr205		90			pr475			25	25						pr201					pr205		68	1	1	pr126		795	100	10	pr205		90			pr475			25	25						0
mp4		pr475				25	25	pr205			68	1	1	pr91				2	2	pr4				75	75	pr126			760	100	1	pr220				125	125	pr475			25	25	pr205		68	1	1	pr91			2	2	pr4			75	75	pr126		760	100	1	pr220			125	125	pr475			25	25	pr205		68	1	1	pr91			2	2	pr4			75	75	pr126		760	100	1	pr220			125	125	0
mp5		pr201				1	1	pr205			68	1	1																									pr201			1	1	pr205		68	1	1																					pr201			1	1	pr205		68	1	1																					0
mp6		pr201				1	1	pr205			249	1	1	pr369			54	25	1																			pr201			1	1	pr205		249	1	1	pr369		54	25	1																pr201			1	1	pr205		249	1	1	pr369		54	25	1																0
mp7		pr201				1	1	pr205			78	1	1																									pr201			1	1	pr205		78	1	1																					pr201			1	1	pr205		78	1	1																					0
mp8		pr201				1	1	pr205			230	1	1																									pr201			1	1	pr205		230	1	1																					pr201			1	1	pr205		230	1	1																					0
mp9		pr213				100	100	pr205			87			pr127	Shadowfiends Shadows Buff		686	5	1	pr475				25	25													pr213			100	100	pr205		87			pr127		686	5	1	pr475			25	25											pr213			100	100	pr205		87			pr127		686	5	1	pr475			25	25											0
mp10		pr205			91			pr205			2			pr126			760	10	1																			pr205		91			pr205		2			pr126		760	10	1																pr205		91			pr205		2			pr126		760	10	1																0
mp11		pr201				1	1	pr205			91																											pr201			1	1	pr205		91																							pr201			1	1	pr205		91																							0
mp12		pr127			223	10	5	pr266				33	33	pr205			2																					pr127		223	10	5	pr266			33	33	pr205		2																		pr127		223	10	5	pr266			33	33	pr205		2																		0
mp13		pr1				50	50																															pr1			50	50																										pr1			50	50																										0
mp14		pr1				50	50	pr117			1693	100	100																									pr1			50	50	pr117		1693	100	100																					pr1			50	50	pr117		1693	100	100																					0
mp15		pr1				50	50	pr198			765	100	5																									pr1			50	50	pr198		765	100	5																					pr1			50	50	pr198		765	100	5																					0
mp16		pr1				50	50	pr127	Taunt		137	33	1																									pr1			50	50	pr127		137	33	1																					pr1			50	50	pr127		137	33	1																					0
mp17		pr475				25	25																															pr475			25	25																										pr475			25	25																										0
mp18		pr201				1	1	pr205			95	1	1																									pr201			1	1	pr205		95	1	1																					pr201			1	1	pr205		95	1	1																					0
mp19		pr127			702	1	6																															pr127		702	1	6																										pr127		702	1	6																										0
mp20		pr127			1003	5	2	pr198			145	20	3																									pr127		1003	5	2	pr198		145	20	13																					pr127		1003	5	2	pr198		145	20	23																					0
mp21		pr127			737	100	2																															pr127		737	100	4																										pr127		737	100	6																										0
mp22		pr125	Merc Energy Factor Aura		287	1	1																															pr125		287	1	1																										pr125		287	1	1																										0
mp23	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp24	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp25	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	25	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	25	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	25	1						0
mp26	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	50	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	50	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	50	1						0
mp27	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr127	Teleport		54	100	1													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr127		54	100	1											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr127		54	100	1						0
mp28	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				150	150													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			150	150											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr57			150	150						0
mp29	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				150	150													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			150	150											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr57			150	150						0
mp30	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				150	150													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			150	150											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr57			150	150						0
mp31	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr57				150	150													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr57			150	150											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr57			150	150						0
mp32	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Fanaticism		548	1	2													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		548	4	5											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		548	3	4						0
mp33	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Fanaticism		548	2	4													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		548	5	7											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		548	4	6						0
mp34	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Fanaticism		548	4	6	pr198	Mon Point Blank Fissure		527	100	7							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		548	7	9	pr198		527	100	11						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		548	6	8	pr198		527	100	14	0
mp35	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Mon Weaker Fanaticism		548	4	6	pr198	Mon Point Blank Volcano		528	100	10							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		548	7	9	pr198		528	100	14						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		548	6	8	pr198		528	100	17	0
mp36	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr183			100	100											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr183			400	400						0
mp37	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr171				15	15													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr171			30	30											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr171			45	45						0
mp38	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Frog Prince		508	100	6													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		508	100	10											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		508	100	13						0
mp39	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Frog Prince		508	100	8													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		508	100	12											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		508	100	15						0
mp40	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Hunting Banshee		827	100	30	pr201				1	1							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		827	100	34	pr201			1	1						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		827	100	37	pr201			1	1	0
mp41	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp42	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp43	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp44	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp45	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1																			pr470	50		50	50	pr127		483	100	1	pr198		484	100	1																pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75											0
mp46	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr198	Mon Point Blank Fireball		526	100	9													pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr198		526	100	13											pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr198		526	100	16						0
mp47	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Shadow Demon Blood		297	7	7	pr198	Mon Energy Beam		503	100	2							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		297	10	10	pr198		503	100	6						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		297	13	13	pr198		503	100	9	0
mp48	Normal monsters	pr470		25		25	25	pr127			483	100	1	pr198			484	100	1	pr125	Shadow Demon Blood		297	1	1	pr198	Mon Energy Beam		503	100	2							pr470	50		50	50	pr127		483	100	1	pr198		484	100	1	pr125		297	1	1	pr198		503	100	6						pr470	75		75	75	pr127		483	100	1	pr198		484	100	1	pr4	2		75	75	pr125		297	1	1	pr198		503	100	9	0
