Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	* Laz / status	* Laz / new	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
ms0	0	ms0			ArchangelRes	ms1027	mp529	mt2	ma28		~z  			1													1	1		11	13	1	30	75	120	mo35	mo35	10	3	2	1	100	100	100	25	25	25	25	25	25	50	50	50	5	5	5	7	7	7																			1	1			1						1			1	1			1						sk914	A1	5	sk449	A1	1	sk449	A1	1	sk914	A1	5													100	100	100	-20	-20	-20						100						100						100									200	200			40	60	700							500	500			80	100	700							500	500			120	140	700							A1	stun	100			50	100			75	100			100																																															0
ms1	1	ms0		3	RathmaPriest	ms817	mp23	mt11	ma28	mon_invisible	ZP  			1	1												1	1		6	6	1	30	75	120	mo27	mo27	10	3	2	1	80	80	80	15	5		95	100	100	70	70	70	25	30	35	7	7	7																			1										1			1	1			1						sk753	S1	3	sk754	S1	3	sk753	S1	4	sk753	S1	1													100	100	100	-20	-20	-20																							22	22	22		80	100	100	120	40	60	100							80	100	100	120	80	100	100							190	200	100	120	120	140	100																																																																			0
ms2	2	ms0		3	RathmaPriest	ms817	mp23	mt11	ma28	mon_invisible	ZP  			1	1												1	1		6	6	1	30	75	120	mo27	mo27	10	3	2	1	80	80	80	15	5		95	100	100	70	70	70	25	30	35	7	7	7																			1										1			1	1			1						sk753	S1	3	sk754	S1	3	sk753	S1	4	sk753	S1	1													100	100	100	-20	-20	-20																							22	22	22		80	100	100	120	40	60	100							80	100	100	120	80	100	100							190	200	100	120	120	140	100																																																																			0
ms3	3	ms0	ms4	3	BurningDead	ms3		mt9	ma2		SK  			1													2	4		6	6	2	16	54	120	mo109	mo109	10	15	14	13				90	95	95	7	6	5	90	95	99	66	66	66																						1	1					1				1			1	1			1				1		sk158	mq8	1																									-20	-20	-20																							25	25	25		93	133	84	85	45	101	110	34	101	125				81	116	92	85	42	95	110	37	103	125				185	200	100	85	40	90	110	40	105	125				A1	fire	50	22	55		50	25	55		50	25	55																																																0
ms4	4	ms0	ms648	4	Horror	ms1337		mt9	ma80		SK  			1													1	1		3	3	2	1	1	1	mo109	mo109	10	15	14	13	99	99	99	1	1	1	1	1	1	1	1	1																									1	1					1				1							1				1		sk158	mq8	1																									-20	-20	-20																					1						1	1												1	1												1	1																																																																								0
ms5	5	ms5	ms6		Zombie	ms5		mt10	ma3		ZM  			1													1	2		1	4	2	1	45	120	mo138	mo139	10	15	14	13				30	40	50	10	15	20				20	25	30																						1	1					1							1	1							1																										100	100	100	-20	-20	-20																							3	3	3		101	181	84	111	51	151	105	101	151	110				103	165	82	108	55	145	105	85	150	110				202	225	80	105	60	140	105	70	150	110																																																																0
ms6	6	ms5	ms7	1	HungryDead	ms6		mt10	ma3		ZM  			1													1	3		1	5	2	3	46	120	mo138	mo139	10	15	14	13				40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																										100	100	100	-20	-20	-20																							4	4	4		101	186	84	111	34	101	105	101	134	110				103	168	82	108	47	120	105	85	142	110				202	225	80	105	60	140	105	70	150	110																																																																0
ms7	7	ms5	ms8	2	Ghoul	ms7		mt10	ma3		ZM  			1													2	3		1	5	2	15	54	120	mo138	mo139	10	15	14	13				50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																										100	100	100	-20	-20	-20																							13	13	13		108	197	84	109	51	138	105	113	163	110				106	173	82	107	55	139	105	91	156	110				202	225	80	105	60	140	105	70	150	110																																																																0
ms8	8	ms5	ms9	3	DrownedCarcass	ms8		mt10	ma3		ZM  			1													2	4		1	6	2	28	63	120	mo138	mo139	10	15	14	13				100	100	100	30	30	30				35	40	45																						1	1					1							1	1							1																										100	100	100	-20	-20	-20																							22	22	22		107	192	85	109	51	136	105	108	165	110				106	171	82	107	53	135	105	89	157	110				202	225	80	105	55	135	105	70	150	110				A1	cold	75	21	42		75	20	40	75	75	20	40	100																																															0
ms9	9	ms5		4	PlagueBearer	ms9		mt10	ma3		ZM  			1													3	4		1	6	2	21	58	120	mo138	mo139	10	15	14	13				60	70	80	25	30	30				40	45	50																						1	1					1							1	1							1																										100	100	100	-20	-20	-20																							17	17	17		109	192	84	109	55	137	105	101	164	110				107	171	82	107	55	136	105	85	157	110				202	225	80	105	55	135	105	70	150	110				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																																															0
