Id	Height	OverlayHeight	pixHeight	SizeX	SizeY	spawnCol	MeleeRng	BaseW	HitClass	HDv	TRv	LGv	Rav	Lav	RHv	LHv	SHv	S1v	S2v	S3v	S4v	S5v	S6v	S7v	S8v	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	mDT	mNU	mWL	mGH	mA1	mA2	mBL	mSC	mS1	mS2	mS3	mS4	mDD	mKB	mSQ	mRN	dDT	dNU	dWL	dGH	dA1	dA2	dBL	dSC	dS1	dS2	dS3	dS4	dDD	dKB	dSQ	dRN	A1mv	A2mv	SCmv	S1mv	S2mv	S3mv	S4mv	noGfxHitTest	htTop	htLeft	htWidth	htHeight	restore	automapCel	noMap	noOvly	isSel	alSel	noSel	shiftSel	corpseSel	isAtt	revive	critter	small	large	soft	inert	objCol	deadCol	unflatDead	Shadow	noUniqueShift	compositeDeath	localBlood	Bleed	Light	light-r	light-g	light-b	Heart	BodyPart	InfernoLen	InfernoAnim	InfernoRollback	ResurrectMode	ResurrectSkill	EOL
ms0	3	2	80	2	2			1hs 	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1									1		1				255	255	255	xxx 	xxx 	1			xx	sk158	0
ms1	3	2	80	2	2			1hs 	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1									1		1				255	255	255	xxx 	xxx 	1			xx	sk158	0
ms2	3	2	80	2	2			1hs 	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1									1		1				255	255	255	xxx 	xxx 	1			xx	sk158	0
ms3	3	2	80	2	2			1hs 	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1									1		1				255	255	255	xxx 	xxx 	1			xx	sk158	0
ms4	3	2	80	2	2			1hs 	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1								9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1									1		1				255	255	255	xxx 	xxx 	1			xx	sk158	0
ms5	3	2	72	2	2			hth 	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	2	1		255	255	255	xxx 	xxx 	1			NU		0
ms6	3	2	72	2	2			hth 	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	2	1		255	255	255	xxx 	xxx 	1			NU		0
ms7	3	2	72	2	2			hth 	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	2	1		255	255	255	xxx 	xxx 	1			NU		0
ms8	3	2	72	2	2			hth 	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	2	1		255	255	255	xxx 	xxx 	1			NU		0
ms9	3	2	72	2	2			hth 	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1	2	1		255	255	255	xxx 	xxx 	1			NU		0
ms10	3	3	96	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms11	3	3	96	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms12	3	3	96	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms13	3	3	96	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms14	3	3	96	3	3			hth 	3		lit							lit									1							1								2	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms15	2	2	88	2	2			hth 	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms16	2	2	88	2	2			hth 	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms17	2	2	88	2	2			hth 	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms18	2	2	88	2	2			hth 	12		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1			2	1		255	255	255	xxx 	xxx 	1			NU		0
ms19	1	1	64	2	2			hth 	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx 	xxx 	1			S1		0
ms20	1	1	64	2	2			hth 	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx 	xxx 	1			S1		0
ms21	1	1	64	2	2			hth 	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx 	xxx 	1			S1		0
ms22	1	1	64	2	2			hth 	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx 	xxx 	1			S1		0
ms23	1	1	64	2	2			hth 	3		lit				"ssd,clb,axe"		"nil,sml,buc,tch"	"lit,med"	lit						lit		1				1		1	1	1						1	6	1	1	1	1	1	1	1		1	1			1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1		1		1					1		1	1	1		255	255	255	xxx 	xxx 	1			S1		0
ms24	3	3	104	3	3			hth 	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx 	xxx 	1			NU		0
ms25	3	3	104	3	3			hth 	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx 	xxx 	1			NU		0
ms26	3	3	104	3	3			hth 	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx 	xxx 	1			NU		0
ms27	3	3	104	3	3			hth 	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx 	xxx 	1			NU		0
ms28	3	3	104	3	3			hth 	1		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1			1	1					1			2	2		255	255	255	xxx 	xxx 	1			NU		0
ms29	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx 	xxx 	1			NU		0
ms30	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx 	xxx 	1			NU		0
ms31	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx 	xxx 	1			NU		0
ms32	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx 	xxx 	1			NU		0
ms33	3	3	96	3	3			hth 	3		lit																1															1	1	1	1	1	1	1							1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1				1		255	255	255	xxx 	xxx 	1			NU		0
ms34	3	2	96	3	3			hth 	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx 	xxx 	1			NU		0
ms35	3	2	96	3	3			hth 	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx 	xxx 	1			NU		0
ms36	3	2	96	3	3			hth 	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx 	xxx 	1			NU		0
ms37	3	2	96	3	3			hth 	3		lit																1															1																	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1					1										1				1		255	255	255	xxx 	xxx 	1			NU		0
ms38	3	2	96	2	2			hth 	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx 	xxx 	1			NU		0
ms39	3	2	96	2	2			hth 	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx 	xxx 	1			NU		0
ms40	3	2	96	2	2			hth 	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx 	xxx 	1			NU		0
ms41	3	2	96	2	2			hth 	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx 	xxx 	1			NU		0
ms42	3	2	96	2	2			hth 	3		lit																1															1	1	1	1	1	1								1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1															255	255	255	xxx 	xxx 	1			NU		0
ms43	3	2	80	2	2			1hs 	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx 	xxx 	1			NU		0
ms44	3	2	80	2	2			1hs 	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx 	xxx 	1			NU		0
ms45	3	2	80	2	2			1hs 	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx 	xxx 	1			NU		0
ms46	3	2	80	2	2			1hs 	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx 	xxx 	1			NU		0
ms47	3	2	80	2	2			1hs 	3	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,clb,fla,flc,hax,lsd,mac,scm,ssd,whm,sbr"		"nil,buc,lrg,kit"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"						1	1	1	1	1	1		1	1	1	1						10	1	1	1	1	1		1						1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1				1					1		1		1		255	255	255	xxx 	xxx 	1			NU		0
