Name	Rune Name	complete	* Laz / status	* Laz / level	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Dawn	Dawn	1		11		weap									El	r01						pr29		31	60	pr58		31	60	pr219		10	10	pr197	sk496	5	7	pr81		15	15	pr96		101	150	pr73		1	1	0
Shark	Shark	1		17		weap									Tal	r07						pr145	sk16	16	16	pr29		41	60	pr197	sk600	6	9	pr230		11	15	pr57		20	20	pr107		33	33	pr11		-1	-1	0
Enyo	Enyo	1		31		weap									Dol	r14						pr27		21	40	pr333		20	20	pr126	sk347	15	13	pr29		121	160	pr220		125	125	pr104		1	1	pr117	sk712	21	25	0
Azrael	Azrael	1		45		weap									Pul	r21						pr31		26	26	pr197	sk518	33	13	pr13		101	200	pr29		151	180	pr66		6	13	pr276		50	50	pr258		40	40	0
Void	Void	1		59		weap									Lo	r28						pr35		40	40	pr29		101	125	pr114		33	33	pr3		11	15	pr327		21	25	pr117	sk798	10	10	pr140		25	50	0
Oblivion	Oblivion	1		75		weap									Lah	r35						pr219		7	7	pr145	sk48	48	48	pr126	sk1002	25	32	pr29		201	250	pr332		15	15	pr186		31	40	pr182	sk459	17	20	0
Berith	Berith	1		98		weap									Vith	r42						pr53		20	20	pr246		100	100	pr58		666	666	pr29		201	250	pr257		50	50	pr221		21	25	pr222		11	15	0
Gehenna	Gehenna	1		110		weap									Xar	r47						pr227		23	23	pr29		251	300	pr126	sk703	25	27	pr137	sk250	750	1000	pr138	sk125	3072	4096	pr75		-33	-33	pr331		50	50	0
Triune	Triune	1		120		weap									Qor	r53						pr75		-8	-8	pr29		201	250	pr187		333	1666	pr28		333	333	pr368		66	66	pr214		201	400	pr182	sk416	39	10	0
Banshee	Banshee	1		13		bow									Tir	r03						pr29		31	60	pr127	sk459	1	6	pr145	sk32	32	32	pr78		20	20	pr137	sk75	20	50	pr49		11	15	pr197	sk712	5	8	0
Shockwave	Shockwave	1		27		bow									Sol	r12						pr29		101	125	pr197	sk263	100	16	pr114		11	15	pr108		11	15	pr8		21	40	pr10		21	40	pr28		41	60	0
Balance	Balance	1		47		bow									Um	r22						pr217		-5	-5	pr243		30	30	pr241		15	15	pr8		15	15	pr222		11	15	pr223		41	50	pr29		101	150	0
Hive	Hive	1		63		bow									Ber	r30						pr221		15	15	pr29		151	200	pr28		51	100	pr197	sk779	25	6	pr138	sk250	3072	4608	pr305	sk32	32	32	pr57		-15	-15	0
Phantom	Phantom	1		87		bow									Nas	r39						pr267		-10	-10	pr127	sk998	50	15	pr29		251	300	pr190		51	100	pr12		50	50	pr115		1	1	pr297		11	17	0
Curse	Curse	1		115		bow									Nih	r48						pr238		15	15	pr127	sk525	15	18	pr197	sk563	25	21	pr215		25	25	pr29		251	300	pr145	sk96	96	96	pr222		21	25	0
Typhaon	Typhaon	1		120		bow									Ghal	r52						pr29		301	350	pr127	sk492	25	11	pr246		50	50	pr41		31	40	pr57		40	40	pr78		60	60	pr28		301	500	0
Thammuz	Thammuz	1		13		xbow									Nef	r04						pr262		-15	-15	pr29		31	60	pr197	sk809	25	6	pr13		111	111	pr134		6	33	pr57		25	25	pr197	sk530	25	6	0
Python	Python	1		35		xbow									Io	r16						pr216		16	20	pr215		21	25	pr29		101	150	pr145	sk48	48	48	pr14		21	25	pr197	sk330	33	14	pr66		16	19	0
Cyclops	Cyclops	1		61		xbow									Sur	r29						pr239		75	75	pr29		151	200	pr28		201	300	pr127	sk443	5	48	pr184		31	40	pr57		50	50	pr114		25	25	0
Tartarus	Tartarus	1		106		xbow									Yul	r44						pr29		301	350	pr197	sk340	10	21	pr145	sk128	128	128	pr337		-10	-10	pr259		100	100	pr192		101	150	pr215		41	50	0
