index	set	item	*item	rarity	lvl	* Laz / comments	* Laz / positioning	lvl req	chrtransform	invtransform	invfile	flippyfile	* Laz / str	* Laz / dex	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Civerb's Ward	se0	lrg 	lrg 	7	126	old LoD	1	9	lyel	lyel					so0		so0	5	2500	1																																																																													0
Civerb's Icon	se0	amu 	amu 	7	126	old LoD	2	9	lyel	lyel					so0		so0	5	2500	2																																																																													0
Civerb's Cudgel	se0	gsc 	gsc 	7	126	old LoD	3	9	lyel	lyel					so0		so0	5	2500																																																																														0
Hsarus' Iron Heel	se1	mbt 	mbt 	7	126	old LoD	4	3	dred	dred					so0		so0	5	2500	2																																																																													0
Hsarus' Iron Fist	se1	buc 	buc 	7	126	old LoD	5	3	dred	dred					so0		so0	5	2500	2																																																																													0
Hsarus' Iron Stay	se1	mbl 	mbl 	7	126	old LoD	6	3	dred	dred					so0		so0	5	2500	2																																																																													0
Cleglaw's Tooth	se2	lsd 	lsd 	7	126	old LoD	7	4	lred	lred					so0		so0	5	2500	2																																																																													0
Cleglaw's Claw	se2	sml 	sml 	7	126	old LoD	8	4	lred	lred					so0		so0	5	2500	2																																																																													0
Cleglaw's Pincers	se2	mgl 	mgl 	7	126	old LoD	9	4	lred	lred					so0		so0	5	2500	2																																																																													0
Iratha's Collar	se3	amu 	amu 	7	126	old LoD	10	15	lgry	lgry					so0		so0	5	2500	2																																																																													0
Iratha's Cuff	se3	tgl 	tgl 	7	126	old LoD	11	15	lgry	lgry					so0		so0	5	2500	2																																																																													0
Iratha's Coil	se3	crn 	crn 	7	126	old LoD	12	15	lgry	lgry					so0		so0	5	2500	2																																																																													0
