index	name	* Laz / status	* Laz / type	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Expansion																																																																						0
se32	MSPantheon	amazon set	bow	100	120	pr41	0	50	50					pr57	0	50	50					pr204	642	4	4													pr197	820	5	29	pr309	0	75	75	pr127	542	10	11	pr8	0	200	200	pr140	0	250	500	pr204	356	7	7	pr205	175	1	1					0
se33	MSCelestia's Myth	amazon set	spear	100	120	pr174	0	50	50					pr108	0	25	25					pr126	980	33	18													pr127	803	10	5	pr0	0	2500	2500	pr4	0	10	10	pr41	0	75	75	pr42	0	5	5	pr140	0	250	500	pr233	0	150	150	pr205	175	1	1	0
se34	MSVasily's Following	amazon set	javelin	100	120	pr137	50	750	1500					pr197	595	25	18					pr204	399	4	4													pr197	702	30	14	pr41	0	50	50	pr223	0	250	250	pr219	0	40	40	pr204	445	6	6	pr205	175	1	1	pr173	0	50	50	pr197	78	20	13	0
se35	MSRed Vex' Embrace	amazon set	bloodwitch	100	120	pr41	0	30	30					pr10	0	150	150					pr204	612	9	9													pr192	0	1000	1000	pr41	0	75	75	pr464	0	1	1	pr125	280	1	1	pr263	0	5	5	pr291	0	150	150	pr10	0	400	400	pr205	175	1	1	0
se73	MSZeraesDivinity	amazon set	Storm	100		pr67	0	2	2					pr172	0	15	15					pr222	0	50	50													pr204	355	9	9	pr205	175	1	1	pr127	489	20	53	pr172	0	15	15	pr184	0	50	50	pr222	0	200	200	pr28	0	500	500	pr326	0	2	2	0
se36	MSWitchhunter's Attire	assassin set	physical melee	100	120	pr8	0	75	75					pr41	0	40	40					pr117	1648	20	20	pr126	500	100	24									pr117	1252	10	10	pr477	0	75	75	pr122	0	5	5	pr291	0	150	150	pr126	821	8	5	pr266	0	10	10	pr205	175	1	1	pr356	0	150	150	0
se37	MSThe Snake Pit	assassin set	elemental melee	100	120	pr223	0	50	50					pr122	0	1	1					pr41	0	50	50													pr223	0	350	350	pr174	0	50	50	pr140	0	250	1000	pr204	317	18	18	pr266	0	5	5	pr126	962	20	36	pr205	175	1	1	pr192	0	150	150	0
se38	MSCreed	assassin set	throw	100	120	pr216	0	15	15					pr122	0	2	2					pr115	0	1	1	pr42	0	5	5									pr369	806	50	13	pr8	0	200	200	pr7	0	200	200	pr9	0	200	200	pr326	0	2	2	pr127	628	4	42	pr174	0	75	75	pr205	175	1	1	0
se39	MSVizjun's Devices	assassin set	bomber	100	120	pr31	0	50	50					pr33	0	50	50					pr35	0	50	50	pr122	0	3	3									pr117	216	15	15	pr42	0	10	10	pr10	0	250	250	pr9	0	150	150	pr192	0	100	100	pr122	0	8	8	pr204	572	14	14	pr205	175	1	1	0
se77	MSUniversal Law	assassin set		100		pr206	0	20	20					pr122	0	2	2					pr13	0	500	500													pr206	0	30	30	pr122	0	4	4	pr266	0	5	5	pr11	0	3000	3000	pr205	175	1	1	pr41	0	25	25	pr204	976	60	60	pr192	0	100	100	0
se40	MSGathering of the Tribes	barbarian set	2h melee	100	120	pr7	0	50	50					pr9	0	100	100					pr96	0	250	250	pr230	0	200	200									pr126	964	50	20	pr41	0	75	75	pr375	70	70	70	pr0	0	4000	4000	pr7	0	250	250	pr117	1644	25	25	pr266	0	25	25	pr205	175	1	1	0
se41	MSMount Arreat	barbarian set	DW melee	100	120	pr71	0	1	1					pr223	0	100	100					pr39	0	50	50	pr197	817	25	8									pr197	781	5	46	pr197	454	10	46	pr190	0	100	100	pr222	0	200	200	pr71	0	4	4	pr385	760	100	1	pr335	0	150	150	pr205	175	1	1	0
