skill	Id	charclass	skilldesc	* Laz / status	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	*Manaat30	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk0	0		sd0		1	1																																																																								so0	so0			so0	so0	so0		so0		so0				1	1																				both		weap			tpot							A1	A1	A1				1		1	1								1								so0			1									1					1		1					7				1					1			1																									1								8	128																																		1		
sk1	1		sd1		2	2																																																																								so0	so0			so0	so0	so0		so0		so0																									h2h	4											KK	KK	xx						1	1							1									so0			1																					7												1																									1							1	8																																			1		
sk2	2		sd2		65	3																																																																								so0	so0			so0	so0	so0		so0		so0				2	2																				rng		thro										TH	TH	xx				1																			so0			1														1		2					7				1								1																									1								8	128																																		1		
sk3	3		sd3		3	4																																																																								so0	so0			so0	so0	so0		so0		so0				3																					rng												SC	SC	xx						1						1											so0			1									1												7				1	1							1																									1								8																																			1		
sk4	4		sd4		65	5																																																																								so0	so0			so0	so0	so0		so0		so0				2	2																				rng	1	thro										S4	S4	xx			1	1																			so0			1														1		3					7				1								1																									1								8																																			1		
sk5	5		sd5		1	1																																																																								so0	so0			so0	so0	so0		so0		so0				4	1																				both	1	weap			tpot							S3	S3	S3			1	1		1	1																so0			1									1					1		4					7				1					1			1																									1								8																																					
sk6	6		sd6												ml27																																																															so0	so0			so0	so0	so0		so0		so0									ml27													1		1	rng		miss										A1	A1	xx				1													1						so0			1	20													1							4	48	-4	-4,25	1																																	1	10	9						8	128	1	1	1	1	1	1	1	1	1	1	1	1																						1	256	1000
sk7	7		sd7		4										ml12	1																																																														so0	so0			so0	so0	so0		so0		so0				11					ml12													1			rng		miss										A1	A1	xx				1													1						so0			1	20													1		1				2	3	192	2	7,8125	1																															12	damage synergy	1	10	9						8	128														fire	1	2	12	12	12	12	4	2	14	14	14	14	skill('sk16'.blvl)*par8							1	256	1000
sk8	8		sd642		39	2																	st254		(250*(100+stat('is409'.accr)))/100		is359	25	is360	25	is74	stat('is7'.accr)/(1060-dm78*4)	is171	ln34																																												so875	so0	1		so0	so0	so0		so0		so0					83																	1			h2h		mele										A1	A1	A1				1		1	1								1								so875			1	99								1					1										0	1										ln56	dmg %	(250*(100+stat('is409'.accr)))/100	duration				17	stats bonus	2	stats bonus per level	10	defense %	5	defense % per level	50	dmg %	5	dmg % per level		duration loss min	100	duration loss max	1	50							8	128																																				
sk9	9		sd662		39	2																	st254		((250+ulvl)*(100+stat('is409'.accr)))/100		is359	25	is360	25	is74	stat('is7'.accr)/1000	is171	10																																												so875	so0	1		so0	so0	so0		so0		so0					83																	1			h2h		mele										A1	A1	A1				1		1	1								1								so875			1	99								1					1										0	1										ln56	dmg %	(250*(100+stat('is409'.accr)))/100	duration				17	stats bonus	2	stats bonus per level					50	dmg %	5	dmg % per level		duration loss min	100	duration loss max	1	50							8	128																																				
sk10	10		sd10		5	7																																																																								so0	so2251			so0	so286	so292		so0		so0				12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1		1						so0			1	20													1						2	4	64	2	7,625	1										ln34	dmg%										-15	Percent damage base	3	Percent damage per level									1	10	9						8																																			1	256	1000
