state	id	group	Laz / status	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
st0	0																																																															so0	so0							0
st1	1																															1		1	1	1									ol316						ol315								90	108	255	255	255	so365	so0							0
st2	2																																				1	1												ol274									80	104	128	255	128	so376	so0							0
st3	3						1				1							1																											ol3					ol2		is39												so2367	so0							0
st4	4						1				1									1																									ol5					ol4		is43												so2366	so0							0
st5	5						1				1								1																										ol7					ol6		is41												so2368	so0							0
st6	6																																																															so0	so0							0
st7	7																																																															so0	so0							0
st8	8						1				1							1	1	1																									ol9	ol10				ol8	ol362	is41												so2369	so2534							0
st9	9							1																																					ol128					ol69		is36												so2445	so0							0
st10	10		RETRIBUTE					1	1																	1	1	1	1																ol155					ol154														so2358	so2534							0
st11	11													1																																						is67							90	108	150	215	255	so365	so0							0
st12	12				1																																																											so0	so0							0
st13	13		FORCE SHOUT																					1																					ol523														13	13	64	64	255	so4896	so2534							0
st14	14		VESSEL OF JUDGMENT																																										ol396																			so2377	so2534						146	0
st15	15		MONSTER PALSHIFT																																										ol167							is67												so2413	so2534							0
st16	16		BLOOD FURY				1																																						ol76					ol75		is329							55	100	255	128	128	so2474	so2534							0
st17	17		BLOODHATRED						1		1					1																													ol294							is74												so2511	so2534							0
st18	18		UNKNOWN																																																													so0	so0							0
st19	19		BAAL SHARD CURSE																																										ol493					ol493		is35							60		128	144	255	so2368	so2534							0
st20	20		BLOODBATH								1					1																													ol294							is348							65	1	255	128	128	so478	so2534							0
st21	21																																												ol148																			so0	so0							0
st22	22		RAPTURE																																										ol80							is68												so422	so2534							0
st23	23							1																																					ol129					ol69														so2469	so0							0
st24	24																																																															so0	so0							0
st25	25		ON-KILL CURSE																																										ol275							is507							140	73	255			so2388	so2534							0
st26	26		MALE WITCH																																										ol455	ol454						is25												so4851	so2534						146	0
st27	27							1							1	1																													ol77																			so2486	so0							0
st28	28		HOUNFOR STATE																																																								37	32	128	196	255	so0	so0							0
st29	29		UNSEELIE CURSE									1																																						ol311		is74							160	40			30	so4783	so2534							0
st30	30		MINION RADIUS AURA				1									1																													ol433							is25												so0	so0							0
st31	31		ARCANE FURY																																										ol544	ol545													170	73	255			so0	so0							0
st32	32	5	ECSTATIC FRENZY													1									1																				ol83					ol83		is67												so4821	so2534							0
st33	33		FIREDANCE																																										ol516					ol516		is329							20	1	255	192	192	so2579	so2534							0
st34	34	3	VANQUISH MERC VER			1						1	1			1																										1	1							ol444	ol444	is25		7					50	1	255	255	192	so453	so2534	1	2021					0
st35	35		NEPHALEM WEAPONS									1																																	ol534					ol533									140	73				so4803	so2534							0
st36	36						1																																						ol19	ol20													150	7		255		so2372	so0							0
st37	37		HARD MODE AURA				1																																													is25												so0	so0							0
st38	38		MERC AURA				1																																											ol303		is110												so2358	so2534							0
st39	39		ICE ELEMENTALS AURA														1																																			is182												so0	so0							0
st40	40		BURNING VEIL				1									1																													ol298					ol460									124	100	255	192	128	so0	so0							0
st41	41						1				1					1																													ol385							is25												so2521	so0							0
st42	42		MON AURA				1				1					1																													ol103	ol104						is25												so2355	so0							0
st43	43		SYMPHONY OF DESTR																																										ol506				ol508															so4803	so2534							0
st44	44		APPLE																																										ol527					ol528									250	73				so4783	so2534							0
st45	45		CHRONOFIELD																																										ol487	ol410				ol487		is67							45	108	128	128	255	so2439	so2534							0
st46	46		HOUNFOR																																																													so0	so0							0
st47	47						1				1	1				1	1																												ol386							is359												so2487	so0							0
st48	48						1				1																																		ol387							is57												so2511	so0							0
st49	49						1				1				1	1																													ol116	ol117						is68												so0	so0							0
st50	50						1																																						ol361					ol361														so2486	so2534							0
st51	51						1				1																																		ol388							is74												so2493	so0							0
st52	52																								1																											is31							115	101	255	128	64	so0	so0							0
st53	53	10						1	1																					1															ol124						ol439													so2377	so0							0
st54	54																																																					7										so0	so0							0
st55	55		WITCH SPARKLES				1																																						ol498					ol498														so2364	so0							0
st56	56							1																																					ol132					ol69														so2477	so0							0
st57	57	2	BLACK MASS																																																	is338							125	105	255	128	255	so0	so0							0
st58	58		FORTRESS LOCKOUT									1																																								is181							85	1	255	128		so0	so2534							0
st59	59		KNIGHT OF DEATH				1																																						ol446					ol69		is0							50	1	255	128	156	so9	so2534							0
st60	60		COUATL AURA					1																1																					ol136					ol69		is170												so2468	so0							0
st61	61							1																		1	1	1	1																ol137					ol69		is41												so0	so0							0
st62	62									1																											1																											so0	so0					85		0
st63	63		HYMN																																															ol448	ol449	is208							80	22	255	174	128	so2353	so2534							0
st64	64		BEACON																																										ol422																			so4790	so2534						146	0
st65	65		SHAMANIC TRANCE													1																													ol490					ol489		is411							25	1	255	128	128	so2511	so2534							0
st66	66		BROADSIDE LOCKOUT									1					1																																			is181							90	1		128	255	so0	so2534							0
st67	67						1				1						1																																			is36							33	109	255		255	so2378	so2534							0
st68	68		NECRO PET STATE																																																								36	20		255	255	so0	so0							0
st69	69						1				1																																		ol388							is68												so2493	so0							0
st70	70		LIGHTNING SHIELD				1																																						ol450					ol451		is128							75	1	81	81	255	so2493	so2534							0
st71	71																																																			is433												so0	so0							0
st72	72																																																			is434												so0	so0							0
st73	73																																																			is435												so0	so0							0
st74	74		UNKNOWN																																										ol128					ol69		is36												so2445	so0							0
st75	75		FAERIE FIRE																																										ol10					ol8														so2353	so2534						146	0
st76	76		SCOURGE PET STATE																																										ol427					ol413														so0	so0							0
st77	77		WAR SPIRIT																																										ol428	ol429				ol430									35	1	255	255	128	so2346	so2534						146	0
st78	78		PHASE BOMB DEBUFF																																										ol471					ol337		is39							88	106	128	255	255	so2442	so2534							0
st79	79										1																																									is416												so0	so0							0
