Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	*Laz / mods	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
su0	Snotspill	ms933		mo0	6			fast	8	8		1			11	11	11	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
su1	Pukerat the Unclean	ms767	1	mo0	7			curse	6	6		1			5	5	5	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
su2	NewGrimspike	ms1661	2	mo0	5			strong				1			18	18	18	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
su3	El Chupacabras	ms1661	3	mo0	7			curse	8	8				1	29	29	29	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
su4	Wrathraven	ms915	4	mo0	5	25		strong mana	4	4		1		1	4	4	4	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
su5	Griswold	ms365	5	mo0	7	28		curse stone				1		1	17	17	17	GriswoldTCex	GriswoldTCex (N)	GriswoldTCex (H)	0
su6	The Countess	ms45	6	mo36	6	7	11	fast curse maggot	6	6		1			16	16	16	Countess	Countess (N)	Countess (H)	0
su7	Moonbender	ms1662	7	mo0	6	17		fast lightning	7	7		1			31	31	31	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
su8	Flower Prowler	ms948	8	mo0	6	7	11	fast curse maggot	7	7		1			16	16	16	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
su9	Blightfire	ms930	9	mo0	5	9		strong fire				1			15	15	15	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C	0
su10	Radament	ms229	10	mo0	7	25		curse mana				1			30	30	30	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	0
su11	Kermit	ms935	11	mo0	5	6		strong fast	4	4		1			29	29	29	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	0
su12	Plaguewrath	ms934	12	mo0	6	29		fast multi	7	7		1			14	14	14	Staff for quest YES!	Staff for quest YES!	Staff for quest YES!	0
su13	NewFleshdoom	ms1663	13	mo0	5	7	9	strong curse fire	5	5		1		1	13	13	13	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
su14	Doomweaver	ms1664	14	mo0	7	25		curse mana	3	3		1			25	25	25	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
su15	Warmaggot the Mad	ms2048	15	mo0	8	9		resist fire							13	13	13	Act 2 Super B	Act 2 (N) Super B	Maggot Boss SuperDrop	0
su16	Deadeye	ms1665	16	mo0	8	18		resist cold	6	6		1			12	12	12	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
su17	Fatal Morgana	ms932	17	mo0	6	27	27	fast tele	5	5		1		1	27	27	27	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	0
su18	The Summoner	ms250	18	mo0								1			26	26	26	Summoner	Summoner (N)	Summoner (H)	0
su19	Warpwing	ms1666	19	mo0	6	18	26	fast cold tele	3	3		1			11	11	11	Act 2 Super C	Act 2 (N) Super C	Act 2 (H) Super C	0
su20	The Smith	ms402	20	mo0	7	9		curse fire				1			26	26	26	Smith	Smith (N)	Smith (H)	0
su21	Gharbad the Weak	ms1667	21	mo0	5	7		strong curse	8	8		1			19	19	19	Act 3 Super A	Act 3 (N) Super A	Act 3 (H) Super A	0
su22	Deathspit	ms1668	22	mo0	6	25		fast mana	2	2		1			20	20	20	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	0
su23	The Vizier	ms1669	23	mo0	25	28		mana stone	1	1		1		1	35	35	35	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	0
su24	Nightwing the Cold	ms1670	24	mo0	6	18		fast cold	7	7		1		1	36	36	36	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	0
su25	NewWitchText	ms1704	25	mo0	7	18		curse cold	2	2		1			21	21	21	Act 3 Super A	Act 3 (N) Super A	Act 3 (H) Super A	0
su26	Zhar the Mad	ms1068	26	mo0	8	27		resist tele	1	1		1			36	36	36	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	0
su27	Deathshade Fleshmaul	ms1672	27	mo0	18	26		cold tele	3	3		1			37	37	37	Act 4 Super A	Act 4 (N) Super A	Act 4 (H) Super A	0
