index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*Laz / comment	* Laz1	* Laz2	* Laz3	* Laz4	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Amulet of the Viper	320	1		1				vip 								5	5000	lgry	lgry			so0		so0	pr39		50	50	pr190		10	10	pr191		5	5	pr73		2	2	pr476		1	1																													0
Staff of Kings		1		1				msf 								5	5000	dgry	dgry			so0		so0	pr207		10	10	pr104		1	1	pr87		15	15	pr41		25	25	pr476		1	1																													0
Horadric Staff		1		1			15	hst 								5	5000	lgld	lgld			so0		so0	pr207		10	10	pr104		1	1	pr87		15	15	pr41		25	25	pr39		50	50	pr190		10	10	pr191		5	5	pr73		2	2	pr182	1002	20	1	pr193		5	5	pr476		1	1					0
Hell Forge Hammer		1		1			20	hfh 								5	5000	cred	cred			so0		so0	pr29		50	50	pr28		15	15	pr220		25	25	pr31		40	40	pr197	518	50	2	pr476		1	1																									0
KhalimFlail		1		1			15	qf1 								5	5000	dgry	dgry			so0		so0	pr29		50	50	pr192		5	5	pr57		20	20	pr96		75	75	pr476		1	1																													0
SuperKhalimFlail		1		1			20	qf2 								5	5000	lgld	lgld			so0		so0	pr29		50	50	pr192		5	5	pr57		20	20	pr96		150	150	pr227		20	20	pr182	311	66	6	pr218		15	15	pr217		15	15	pr28		40	40	pr476		1	1									0
BossKillerRing		1		5	1	1	100	r@r 								5	5000				Ring08	so0		so0	pr140		25	50	pr99		50	50	pr0		-250	-250	pr14		5	5	pr73		2	2																													0
UpgradedBossKillerRing		1		5	1	1	100	s@s 								5	5000	blac	blac		Ring08	so0		so0	pr204	876	1	1	pr104		1	1	pr140		25	50	pr99		150	150	pr14		10	10	pr73		2	2	pr12		10	10																					0
ScrollOfSummons		1		1	1	1	1	s0m 								5	5000					so0		so0	pr204	551	1	1																																													0
NewSuperGem		1		1	1	1		u@+ 							1	5	5000					so0		so0	pr205	16	1	1																																													0
OpticalDetector		1		1	1	1	60	a55 							1	5	5000					so0		so0	pr239		200	200	pr73		2	2	pr190		5	15	pr41		10	15	pr280		1	1																													0
AzmodansHeart2		1		1	1	1	100	a56 							1	5	5000					so0		so0	pr41		31	40	pr42		5	5	pr193		10	10																																					0
BookOfAkarat		1		1	1	1	100	a57 							1	5	5000				akaratbook	so0		so0	pr190		21	25	pr0		201	250																																									0
ScrollOfKings2		1		1	1	1	60	a58 							1	5	5000				scrollofkings	so0		so0	pr207		16	20	pr219		16	20																																									0
LaserFocusCrystal		1		1	1	1	80	a59 							1	5	5000					so0		so0	pr14		10	10	pr191		6	15	pr12		10	10																																					0
ButchersTooth		1		1	1	1	40	a60 							1	5	5000					so0		so0	pr107		50	50	pr58		100	100	pr59		40	40	pr190		10	10																																	0
SacredWorldstoneKey2		1		1	1	1	80	a61 							1	5	5000					so0		so0	pr223		41	50	pr222		21	30																																									0
IdolOfVanity		1		1	1	1	100	a66 							1	5	5000					so0		so0	pr115		1	1	pr87		15	15	pr57		15	15	pr81		15	15	pr84		15	15	pr78		15	15	pr280		1	1																					0
NewSpiritOfDamnation		1		1	1	1	120	a67 							1	5	5000					so0		so0	pr486		1	1																																													0
CursedShadowfang		1		1	1	1	40	a68 							1	5	5000					so0		so0	pr190		21	25	pr66		3	5	pr65		3	5	pr0		-50	-50																																	0
VSTI		1		1	1	1	120	ab! 							1	5	5000					so0		so0	pr88		50	50	pr104		1	1	pr13		100	500																																					0
